keyword     , clientTime, serverTime, totalTime, resultLength, payloadSize, w1
F1438#F10031,         82,         26,       110,            0,          40,     1
F1438#F1021 ,        110,         64,       176,            0,          80,     2
F1438#F10467,         72,         82,       156,            0,         120,     3
F1438#F11486,        133,         76,       211,            0,         160,     4
F1438#F10068,        102,         50,       155,            0,         200,     5
F1438#F10259,        108,         97,       208,            0,         240,     6
F1438#F12293,         69,         80,       151,            0,         280,     7
F1438#F10311,        110,         77,       190,            0,         320,     8
F1438#F13312,         86,         60,       148,            1,         360,     9
F1438#F10800,         85,         84,       170,            0,         400,    10
F1438#F1308 ,        136,         51,       189,            0,         440,    11
F1438#F10693,         72,         86,       159,            0,         480,    12
F1438#F11138,        104,        101,       207,            0,         520,    13
F1438#F10159,        141,        107,       250,            0,         560,    14
F1438#F11380,        133,         86,       221,            0,         600,    15
F1438#F1047 ,        101,        132,       236,            0,         640,    16
F1438#F10072,         98,         91,       192,            0,         680,    17
F1438#F10516,        105,         98,       205,            0,         720,    18
F1438#F10454,        101,        112,       215,            0,         760,    19
F1438#F14280,         96,         83,       180,            0,         800,    20
F1438#F10544,        103,        115,       219,            0,         840,    21
F1438#F10744,        114,        127,       243,            0,         880,    22
F1438#F10374,        110,        106,       217,            0,         920,    23
F1438#F1029 ,        120,        110,       233,            0,         960,    24
F1438#F12029,        155,         83,       241,            0,        1000,    25
F1438#F10595,        120,        104,       225,            0,        1040,    26
F1438#F10700,        127,        103,       232,            0,        1080,    27
F1438#F10165,        152,        112,       266,            0,        1120,    28
F1438#F10922,        138,        104,       245,            0,        1160,    29
F1438#F10398,        124,         98,       223,            0,        1200,    30
F1438#F10802,        133,        129,       264,            0,        1240,    31
F1438#F10166,        159,        125,       286,            0,        1280,    32
F1438#F13268,        323,        162,       489,            0,        1320,    33
F1438#F10043,        168,        139,       308,            0,        1360,    34
F1438#F11321,        159,        106,       266,            1,        1400,    35
F1438#F10115,        159,        118,       278,            0,        1440,    36
F1438#F11053,        172,        128,       302,            1,        1480,    37
F1438#F11114,        157,         94,       253,            1,        1520,    38
F1438#F10237,        138,        129,       267,            0,        1560,    39
F1438#F10942,        152,        138,       292,            0,        1600,    40
F1438#F10450,        142,        130,       274,            0,        1640,    41
F1438#F11220,        145,        140,       287,            0,        1680,    42
F1438#F10055,        139,        138,       278,            0,        1720,    43
F1438#F10494,        157,        138,       297,            0,        1760,    44
F1438#F10158,        144,        176,       322,            0,        1800,    45
F1438#F10205,        150,        149,       301,            1,        1840,    46
F1438#F10813,        159,        154,       314,            0,        1880,    47
F1438#F10081,        154,        157,       313,            1,        1920,    48
F1438#F10014,        153,        142,       297,            0,        1960,    49
F1438#F10136,        154,        128,       283,            0,        2000,    50
F1438#F11604,        194,        139,       335,            0,        2040,    51
F1438#F10195,        225,        208,       435,            1,        2080,    52
F1438#F10355,        175,        201,       377,            0,        2120,    53
F1438#F11076,        256,        119,       376,            0,        2160,    54
F1438#F10378,        270,        133,       404,            1,        2200,    55
F1438#F10547,        186,        168,       356,            0,        2240,    56
F1438#F10463,        240,        202,       443,            0,        2280,    57
F1438#F10020,        186,        148,       336,            0,        2320,    58
F1438#F10541,        192,        117,       311,            0,        2360,    59
F1438#F10032,        216,        126,       343,            1,        2400,    60
F1438#F10178,        202,        196,       400,            0,        2440,    61
F1438#F10121,        199,        187,       388,            0,        2480,    62
F1438#F10305,        189,        176,       367,            0,        2520,    63
F1438#F10033,        250,        124,       376,            0,        2560,    64
F1438#F10143,        225,        214,       441,            0,        2600,    65
F1438#F10141,        190,        142,       333,            0,        2640,    66
F1438#F10961,        225,        118,       345,            0,        2680,    67
F1438#F10873,        195,        185,       383,            0,        2720,    68
F1438#F10317,        251,        127,       381,            0,        2760,    69
F1438#F10170,        199,        185,       386,            1,        2800,    70
F1438#F10636,        198,        165,       366,            0,        2840,    71
F1438#F10037,        248,        125,       375,            0,        2880,    72
F1438#F1003 ,        194,        158,       354,            1,        2920,    73
F1438#F10691,        294,        144,       440,            0,        2960,    74
F1438#F10338,        217,        160,       379,            0,        3000,    75
F1438#F1005 ,        256,        153,       410,            0,        3040,    76
F1438#F10152,        293,        132,       426,            0,        3080,    77
F1438#F10313,        242,        204,       461,            0,        3120,    78
F1438#F10217,        286,        141,       428,            0,        3160,    79
F1438#F10437,        209,        152,       364,            0,        3200,    80
F1438#F10286,        233,        160,       395,            0,        3240,    81
F1438#F1095 ,        261,        138,       400,            1,        3280,    82
F1438#F10380,        277,        144,       423,            1,        3320,    83
F1438#F10377,        266,        213,       481,            3,        3360,    84
F1438#F10139,        242,        231,       475,            0,        3400,    85
F1438#F1153 ,        290,        146,       437,            0,        3440,    86
F1438#F10561,        237,        214,       452,            0,        3480,    87
F1438#F10334,        271,        149,       421,            0,        3520,    88
F1438#F10298,        224,        213,       438,            0,        3560,    89
F1438#F10344,        279,        216,       497,            0,        3600,    90
F1438#F10176,        255,        214,       470,            0,        3640,    91
F1438#F10096,        257,        205,       463,            0,        3680,    92
F1438#F11165,        262,        181,       444,            0,        3720,    93
F1438#F11330,        256,        152,       411,            0,        3760,    94
F1438#F10737,        279,        210,       492,            0,        3800,    95
F1438#F10820,        289,        210,       500,            0,        3840,    96
F1438#F10029,        289,        194,       484,            0,        3880,    97
F1438#F10099,        275,        208,       484,            0,        3920,    98
F1438#F11019,        283,        219,       503,            0,        3960,    99
F1438#F10351,        286,        152,       439,            1,        4000,   100
F1438#F10140,        261,        228,       490,            0,        4040,   101
F1438#F10470,        289,        150,       441,            0,        4080,   102
F1438#F10191,        242,        186,       430,            0,        4120,   103
F1438#F11069,        305,        182,       489,            0,        4160,   104
F1438#F1035 ,        277,        217,       496,            0,        4200,   105
F1438#F10326,        288,        198,       488,            0,        4240,   106
F1438#F10061,        309,        225,       535,            1,        4280,   107
F1438#F10151,        311,        236,       549,            0,        4320,   108
F1438#F10303,        364,        214,       579,            0,        4360,   109
F1438#F10235,        316,        183,       501,            0,        4400,   110
F1438#F10270,        475,        279,       760,            0,        4440,   111
F1438#F10022,        297,        221,       520,            2,        4480,   112
F1438#F10319,        262,        239,       504,            0,        4520,   113
F1438#F10369,        282,        219,       503,            1,        4560,   114
F1438#F10066,        275,        205,       481,            0,        4600,   115
F1438#F10161,        281,        232,       515,            1,        4640,   116
F1438#F10198,        312,        241,       554,            0,        4680,   117
F1438#F10268,        276,        225,       503,            0,        4720,   118
F1438#F1028 ,        271,        228,       501,            0,        4760,   119
F1438#F10228,        282,        193,       477,            0,        4800,   120
F1438#F11913,        290,        205,       497,            0,        4840,   121
F1438#F10088,        293,        213,       508,            0,        4880,   122
F1438#F10366,        297,        213,       512,            0,        4920,   123
F1438#F10989,        285,        204,       490,            0,        4960,   124
F1438#F10069,        336,        209,       546,            0,        5000,   125
F1438#F10316,        309,        230,       541,            1,        5040,   126
F1438#F10080,        307,        276,       585,            1,        5080,   127
F1438#F10086,        313,        219,       534,            1,        5120,   128
F1438#F10697,        317,        226,       545,            0,        5160,   129
F1438#F10707,        322,        226,       551,            0,        5200,   130
F1438#F10277,        322,        253,       577,            0,        5240,   131
F1438#F10079,        332,        229,       563,            1,        5280,   132
F1438#F10098,        312,        256,       570,            0,        5320,   133
F1438#F10045,        318,        202,       521,            0,        5360,   134
F1438#F10183,        323,        215,       540,            0,        5400,   135
F1438#F10290,        300,        234,       536,            1,        5440,   136
F1438#F10353,        354,        221,       578,            0,        5480,   137
F1438#F10608,        335,        234,       571,            0,        5520,   138
F1438#F1024 ,        314,        203,       518,            0,        5560,   139
F1438#F10175,        302,        258,       562,            0,        5600,   140
F1438#F10039,        311,        234,       547,            0,        5640,   141
F1438#F10281,        325,        219,       545,            0,        5680,   142
F1438#F10808,        364,        253,       619,            0,        5720,   143
F1438#F10042,        383,        273,       659,            1,        5760,   144
F1438#F10488,        375,        285,       661,            0,        5800,   145
F1438#F10239,        343,        258,       603,            1,        5840,   146
F1438#F10552,        353,        237,       593,            0,        5880,   147
F1438#F10822,        352,        224,       578,            0,        5920,   148
F1438#F10186,        365,        227,       594,            1,        5960,   149
F1438#F10263,        371,        241,       614,            0,        6000,   150
F1438#F10685,        353,        211,       566,            0,        6040,   151
F1438#F10097,        373,        238,       613,            1,        6080,   152
F1438#F10041,        343,        235,       580,            0,        6120,   153
F1438#F10231,        371,        217,       591,            0,        6160,   154
F1438#F10383,        338,        239,       579,            1,        6200,   155
F1438#F10392,        363,        268,       633,            0,        6240,   156
F1438#F10106,        382,        286,       670,            0,        6280,   157
F1438#F10019,        391,        264,       657,            0,        6320,   158
F1438#F10082,        389,        303,       694,            1,        6360,   159
F1438#F10592,        408,        289,       698,            0,        6400,   160
F1438#F10011,        411,        297,       710,            0,        6440,   161
F1438#F10048,        403,        323,       728,            0,        6480,   162
F1438#F1033 ,        420,        294,       716,            0,        6520,   163
F1438#F10040,        450,        313,       765,            0,        6560,   164
F1438#F10631,        451,        307,       759,            2,        6600,   165
F1438#F10065,        441,        324,       767,            0,        6640,   166
F1438#F10233,        428,        357,       786,            0,        6680,   167
F1438#F10250,        460,        285,       747,            2,        6720,   168
F1438#F10639,        443,        345,       789,            0,        6760,   169
F1438#F10622,        486,        351,       839,            1,        6800,   170
F1438#F1106 ,        497,        378,       876,            1,        6840,   171
F1438#F10260,        449,        320,       771,            2,        6880,   172
F1438#F10157,        448,        348,       798,            0,        6920,   173
F1438#F10984,        466,        335,       803,            1,        6960,   174
F1438#F10110,        493,        382,       877,            0,        7000,   175
F1438#F1049 ,        546,        402,       950,            1,        7040,   176
F1438#F10062,        641,        298,       943,            1,        7080,   177
F1438#F10090,        433,        237,       672,            0,        7120,   178
F1438#F10197,        423,        272,       697,            0,        7160,   179
F1438#F10180,        430,        253,       685,            1,        7200,   180
F1438#F10194,        385,        290,       677,            1,        7240,   181
F1438#F10116,        446,        277,       725,            0,        7280,   182
F1438#F10423,        421,        274,       697,            2,        7320,   183
F1438#F10584,        452,        306,       761,            0,        7360,   184
F1438#F10435,        424,        270,       696,            2,        7400,   185
F1438#F10017,        452,        258,       712,            1,        7440,   186
F1438#F10027,        432,        330,       764,            1,        7480,   187
F1438#F10095,        443,        288,       733,            0,        7520,   188
F1438#F10049,        433,        345,       779,            1,        7560,   189
F1438#F10181,        473,        363,       838,            0,        7600,   190
F1438#F10324,        566,        350,       917,            1,        7640,   191
F1438#F10764,        461,        256,       720,            1,        7680,   192
F1438#F11431,        453,        292,       746,            1,        7720,   193
F1438#F10360,        402,        279,       684,            0,        7760,   194
F1438#F10688,        435,        293,       730,            0,        7800,   195
F1438#F10067,        433,        291,       726,            0,        7840,   196
