keyword      , clientTime, serverTime, totalTime, resultLength, payloadSize, w1, w2
F10800#F1308 ,        243,         77,       325,            0,         400, 10,    11
F10800#F10693,        118,        123,       242,            0,         400, 10,    12
F10800#F11138,        145,         94,       241,            0,         400, 10,    13
F10800#F10159,         93,         91,       189,            0,         400, 10,    14
F10800#F11380,         84,         85,       171,            0,         400, 10,    15
F10800#F1047 ,        105,        102,       209,            0,         400, 10,    16
F10800#F10072,        133,         59,       193,            0,         400, 10,    17
F10800#F10516,         90,         70,       161,            0,         400, 10,    18
F10800#F10454,        110,         54,       175,            0,         400, 10,    19
F10800#F14280,         82,         61,       145,            0,         400, 10,    20
F10800#F10544,         74,         58,       133,            0,         400, 10,    21
F10800#F10744,         87,         87,       175,            0,         400, 10,    22
F10800#F10374,         79,         70,       150,            0,         400, 10,    23
F10800#F1029 ,        122,         88,       211,            0,         400, 10,    24
F10800#F12029,         75,         89,       168,            0,         400, 10,    25
F10800#F10595,         74,         72,       148,            0,         400, 10,    26
F10800#F10700,         55,         44,       100,            0,         400, 10,    27
F10800#F10165,         58,         86,       146,            0,         400, 10,    28
F10800#F10922,         56,         67,       124,            0,         400, 10,    29
F10800#F10398,         64,         45,       111,            0,         400, 10,    30
F10800#F10802,         52,         45,        98,            0,         400, 10,    31
F10800#F10166,        113,         99,       214,            0,         400, 10,    32
F10800#F13268,         75,         88,       165,            0,         400, 10,    33
F10800#F10043,         65,         90,       156,            0,         400, 10,    34
F10800#F11321,         63,        102,       167,            0,         400, 10,    35
F10800#F10115,         81,         76,       158,            0,         400, 10,    36
F10800#F11053,         71,         84,       155,            0,         400, 10,    37
F10800#F11114,         87,         81,       169,            0,         400, 10,    38
F10800#F10237,         98,         84,       185,            0,         400, 10,    39
F10800#F10942,         64,         76,       141,            0,         400, 10,    40
F10800#F10450,         51,         87,       143,            0,         400, 10,    41
F10800#F11220,         73,        106,       183,            0,         400, 10,    42
F10800#F10055,         82,         92,       176,            0,         400, 10,    43
F10800#F10494,         68,         92,       162,            0,         400, 10,    44
F10800#F10158,         61,         87,       149,            0,         400, 10,    45
F10800#F10205,         92,         85,       178,            0,         400, 10,    46
F10800#F10813,         57,         42,       101,            0,         400, 10,    47
F10800#F10081,         55,         82,       138,            0,         400, 10,    48
F10800#F10014,         56,         65,       123,            0,         400, 10,    49
F10800#F10136,         56,         76,       133,            0,         400, 10,    50
F10800#F11604,         51,         41,        93,            0,         400, 10,    51
F10800#F10195,         52,         43,        97,            0,         400, 10,    52
F10800#F10355,         53,         77,       131,            0,         400, 10,    53
F10800#F11076,         56,         80,       137,            0,         400, 10,    54
F10800#F10378,         59,         71,       131,            0,         400, 10,    55
F10800#F10547,         52,         76,       129,            0,         400, 10,    56
F10800#F10463,         85,         82,       168,            0,         400, 10,    57
F10800#F10020,         58,         78,       137,            0,         400, 10,    58
F10800#F10541,         55,         46,       102,            0,         400, 10,    59
F10800#F10032,         54,         78,       133,            0,         400, 10,    60
F10800#F10178,         61,         71,       133,            0,         400, 10,    61
F10800#F10121,         54,         70,       126,            0,         400, 10,    62
F10800#F10305,         47,         83,       131,            0,         400, 10,    63
F10800#F10033,         53,         70,       125,            0,         400, 10,    64
F10800#F10143,         55,         68,       124,            0,         400, 10,    65
F10800#F10141,         55,         77,       134,            0,         400, 10,    66
F10800#F10961,         55,         83,       140,            0,         400, 10,    67
F10800#F10873,         57,         83,       142,            0,         400, 10,    68
F10800#F10317,         54,         91,       148,            0,         400, 10,    69
F10800#F10170,         60,         70,       131,            0,         400, 10,    70
F10800#F10636,         57,         83,       141,            0,         400, 10,    71
F10800#F10037,         55,         69,       126,            0,         400, 10,    72
F10800#F1003 ,         57,         79,       137,            0,         400, 10,    73
F10800#F10691,         62,         42,       105,            0,         400, 10,    74
F10800#F10338,         61,         74,       136,            0,         400, 10,    75
F10800#F1005 ,         54,         76,       132,            0,         400, 10,    76
F10800#F10152,         54,         82,       137,            0,         400, 10,    77
F10800#F10313,         60,         86,       147,            0,         400, 10,    78
F10800#F10217,         52,         88,       142,            0,         400, 10,    79
F10800#F10437,         51,         43,        95,            0,         400, 10,    80
F10800#F10286,         51,         80,       133,            0,         400, 10,    81
F10800#F1095 ,         65,         68,       134,            0,         400, 10,    82
F10800#F10380,         54,         72,       127,            0,         400, 10,    83
F10800#F10377,         52,         73,       126,            0,         400, 10,    84
F10800#F10139,         57,         71,       129,            0,         400, 10,    85
F10800#F1153 ,         53,         83,       137,            0,         400, 10,    86
F10800#F10561,         56,         73,       130,            0,         400, 10,    87
F10800#F10334,         53,         76,       130,            0,         400, 10,    88
F10800#F10298,         59,         83,       143,            0,         400, 10,    89
F10800#F10344,         57,         87,       145,            0,         400, 10,    90
F10800#F10176,         55,         70,       126,            0,         400, 10,    91
F10800#F10096,         57,         74,       133,            0,         400, 10,    92
F10800#F11165,         55,         41,        98,            0,         400, 10,    93
F10800#F11330,         52,         82,       136,            0,         400, 10,    94
F10800#F10737,         59,         48,       108,            0,         400, 10,    95
F10800#F10820,         52,         85,       138,            0,         400, 10,    96
F10800#F10029,         58,         42,       102,            0,         400, 10,    97
F10800#F10099,         52,         85,       139,            0,         400, 10,    98
F10800#F11019,         55,         81,       137,            0,         400, 10,    99
F10800#F10351,         95,         44,       140,            0,         400, 10,   100
F10800#F10140,         54,         45,       101,            0,         400, 10,   101
F10800#F10470,         56,         39,        96,            0,         400, 10,   102
F10800#F10191,         54,         85,       140,            0,         400, 10,   103
F10800#F11069,         57,         73,       131,            0,         400, 10,   104
F10800#F1035 ,         54,         44,        99,            0,         400, 10,   105
