keyword,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F10800#F1308,181,92,278,0,400,10,11
F10800#F10693,154,58,214,0,400,10,12
F10800#F11138,96,64,161,0,400,10,13
F10800#F10159,96,77,175,0,400,10,14
F10800#F11380,117,80,197,0,400,10,15
F10800#F1047,59,86,146,0,400,10,16
F10800#F10072,58,72,132,0,400,10,17
F10800#F10516,53,70,125,0,400,10,18
F10800#F10454,55,51,107,0,400,10,19
F10800#F14280,87,81,175,0,400,10,20
F10800#F10544,99,79,181,0,400,10,21
F10800#F10744,59,46,106,0,400,10,22
F10800#F10374,59,66,126,0,400,10,23
F10800#F1029,57,64,122,0,400,10,24
F10800#F12029,56,69,127,0,400,10,25
F10800#F10595,55,77,133,1,400,10,26
F10800#F10700,63,79,144,0,400,10,27
F10800#F10165,67,42,111,0,400,10,28
F10800#F10922,56,43,101,0,400,10,29
F10800#F10398,62,61,124,0,400,10,30
F10800#F10802,93,85,180,0,400,10,31
F10800#F10166,58,75,134,0,400,10,32
F10800#F13268,60,39,100,0,400,10,33
F10800#F10043,56,60,117,0,400,10,34
F10800#F11321,101,84,187,0,400,10,35
F10800#F10115,57,42,101,0,400,10,36
F10800#F11053,54,71,126,0,400,10,37
F10800#F11114,56,46,103,0,400,10,38
F10800#F10237,54,80,135,0,400,10,39
F10800#F10942,65,64,137,0,400,10,40
F10800#F10450,104,52,158,0,400,10,41
F10800#F11220,72,45,119,0,400,10,42
F10800#F10055,56,93,150,0,400,10,43
F10800#F10494,57,84,143,0,400,10,44
F10800#F10158,87,72,160,0,400,10,45
F10800#F10205,58,70,129,0,400,10,46
F10800#F10813,59,74,134,0,400,10,47
F10800#F10081,65,43,109,0,400,10,48
F10800#F10014,54,51,106,0,400,10,49
F10800#F10136,53,71,126,0,400,10,50
F10800#F11604,93,42,136,0,400,10,51
F10800#F10195,57,71,129,0,400,10,52
F10800#F10355,54,71,126,0,400,10,53
F10800#F11076,55,80,136,0,400,10,54
F10800#F10378,65,40,107,0,400,10,55
F10800#F10547,60,87,148,0,400,10,56
F10800#F10463,58,87,147,0,400,10,57
F10800#F10020,50,62,113,0,400,10,58
F10800#F10541,57,85,144,0,400,10,59
F10800#F10032,61,79,142,1,400,10,60
F10800#F10178,54,80,135,0,400,10,61
F10800#F10121,91,42,134,0,400,10,62
F10800#F10305,54,65,120,1,400,10,63
F10800#F10033,60,38,99,0,400,10,64
F10800#F10143,61,67,129,0,400,10,65
F10800#F10141,52,64,118,0,400,10,66
F10800#F10961,56,83,140,0,400,10,67
F10800#F10873,54,69,125,0,400,10,68
F10800#F10317,84,83,168,0,400,10,69
F10800#F10170,62,89,152,0,400,10,70
F10800#F10636,59,69,129,0,400,10,71
