keyword      ,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F10800#F1308 ,64,77,141,0,400,10,11
F10800#F10693,64,71,135,0,400,10,12
F10800#F11138,64,71,135,0,400,10,13
F10800#F10159,64,56,120,0,400,10,14
F10800#F11380,64,53,117,0,400,10,15
F10800#F1047 ,64,46,110,0,400,10,16
F10800#F10072,64,54,118,0,400,10,17
F10800#F10516,64,54,118,0,400,10,18
F10800#F10454,54,41,96,0,400,10,19
F10800#F14280,58,69,129,0,400,10,20
F10800#F10544,55,68,125,0,400,10,21
F10800#F10744,55,69,124,0,400,10,22
F10800#F10374,55,69,124,0,400,10,23
F10800#F1029 ,57,65,130,0,400,10,24
F10800#F12029,52,75,128,0,400,10,25
F10800#F10595,63,75,139,0,400,10,26
F10800#F10700,58,67,126,0,400,10,27
F10800#F10165,57,65,123,0,400,10,28
F10800#F10922,47,79,127,0,400,10,29
F10800#F10398,52,72,125,0,400,10,30
F10800#F10802,52,45,97,0,400,10,31
F10800#F10166,49,45,94,0,400,10,32
F10800#F13268,58,72,132,1,400,10,33
F10800#F10043,54,36,91,0,400,10,34
F10800#F11321,55,43,99,0,400,10,35
F10800#F10115,58,43,101,0,400,10,36
F10800#F11053,57,74,133,0,400,10,37
F10800#F11114,52,75,129,0,400,10,38
F10800#F10237,61,41,103,0,400,10,39
F10800#F10942,59,64,124,0,400,10,40
F10800#F10450,57,77,135,0,400,10,41
F10800#F11220,56,64,122,0,400,10,42
F10800#F10055,56,64,120,0,400,10,43
F10800#F10494,56,41,97,0,400,10,44
F10800#F10158,58,67,126,0,400,10,45
F10800#F10205,53,35,89,0,400,10,46
F10800#F10813,55,69,125,0,400,10,47
F10800#F10081,55,45,100,0,400,10,48
F10800#F10014,61,45,106,0,400,10,49
F10800#F10136,61,67,128,0,400,10,50
F10800#F11604,54,67,121,0,400,10,51
F10800#F10195,65,79,145,0,400,10,52
F10800#F10355,69,69,141,0,400,10,53
F10800#F11076,55,69,124,0,400,10,54
F10800#F10378,54,43,98,0,400,10,55
F10800#F10547,53,75,129,0,400,10,56
F10800#F10463,55,75,130,0,400,10,57
F10800#F10020,53,71,124,0,400,10,58
F10800#F10541,57,71,128,0,400,10,59
F10800#F10032,63,80,144,0,400,10,60
F10800#F10178,63,54,117,0,400,10,61
F10800#F10121,70,54,124,0,400,10,62
F10800#F10305,70,46,116,0,400,10,63
F10800#F10033,60,46,106,0,400,10,64
F10800#F10143,62,77,140,0,400,10,65
F10800#F10141,63,77,140,0,400,10,66
F10800#F10961,63,69,133,0,400,10,67
F10800#F10873,54,66,121,0,400,10,68
F10800#F10317,67,36,104,0,400,10,69
F10800#F10170,57,75,133,0,400,10,70
F10800#F10636,68,57,126,0,400,10,71
F10800#F10037,49,79,130,0,400,10,72
F10800#F1003 ,52,63,117,1,400,10,73
F10800#F10691,51,63,114,0,400,10,74
F10800#F10338,50,72,124,0,400,10,75
F10800#F1005 ,55,80,136,0,400,10,76
F10800#F10152,59,72,133,0,400,10,77
F10800#F10313,54,79,135,0,400,10,78
F10800#F10217,54,67,123,0,400,10,79
F10800#F10437,55,68,125,0,400,10,80
F10800#F10286,58,73,132,0,400,10,81
F10800#F1095 ,57,57,116,0,400,10,82
F10800#F10380,59,64,125,0,400,10,83
F10800#F10377,57,67,126,0,400,10,84
F10800#F10139,52,67,119,0,400,10,85
F10800#F1153 ,57,67,124,0,400,10,86
F10800#F10561,57,77,134,0,400,10,87
F10800#F10334,56,80,137,0,400,10,88
F10800#F10298,56,39,97,0,400,10,89
F10800#F10344,56,48,105,0,400,10,90
F10800#F10176,57,67,126,0,400,10,91
F10800#F10096,56,37,95,0,400,10,92
F10800#F11165,55,62,118,0,400,10,93
F10800#F11330,50,76,127,0,400,10,94
F10800#F10737,56,38,95,0,400,10,95
F10800#F10820,48,72,121,0,400,10,96
F10800#F10029,60,40,101,0,400,10,97
F10800#F10099,43,74,119,0,400,10,98
F10800#F11019,54,69,125,0,400,10,99
F10800#F10351,52,69,121,0,400,10,100
F10800#F10140,54,75,131,0,400,10,101
F10800#F10470,50,73,124,0,400,10,102
F10800#F10191,50,73,123,0,400,10,103
F10800#F11069,58,73,131,0,400,10,104
F10800#F1035 ,53,80,134,0,400,10,105
F10800#F10326,51,71,123,0,400,10,106
F10800#F10061,51,68,119,0,400,10,107
F10800#F10151,61,68,129,0,400,10,108
F10800#F10303,56,77,135,0,400,10,109
F10800#F10235,56,50,106,0,400,10,110
F10800#F10270,55,67,123,0,400,10,111
F10800#F10022,54,70,125,0,400,10,112
F10800#F10319,61,40,102,0,400,10,113
F10800#F10369,61,40,101,0,400,10,114
F10800#F10066,55,40,95,0,400,10,115
F10800#F10161,50,73,124,0,400,10,116
F10800#F10198,53,65,120,0,400,10,117
F10800#F10268,53,79,132,0,400,10,118
F10800#F1028 ,52,43,96,0,400,10,119
F10800#F10228,59,55,115,0,400,10,120
F10800#F11913,66,74,141,0,400,10,121
F10800#F10088,65,74,139,0,400,10,122
F10800#F10366,65,74,139,0,400,10,123
F10800#F10989,63,74,137,0,400,10,124
F10800#F10069,65,74,140,0,400,10,125
F10800#F10316,58,78,137,0,400,10,126
F10800#F10080,60,72,133,0,400,10,127
F10800#F10086,61,37,99,0,400,10,128
F10800#F10697,55,66,122,0,400,10,129
F10800#F10707,51,79,131,0,400,10,130
F10800#F10277,59,38,98,0,400,10,131
F10800#F10079,53,74,127,0,400,10,132
F10800#F10098,52,74,126,0,400,10,133
