keyword,clientSearchTime,serverTime,resultLength
F24246#F35798,851.707µs,1.850699492s,1
F26058#F38169,1.937368ms,688.9834ms,7
F457#F15241,6.557777ms,1.209523401s,36
F62532#F15114,797.106µs,1.032199772s,1
F37132#F62283,707.797µs,964.517692ms,0
F2958#F6934,7.882422ms,2.137487151s,62
F29629#F50883,2.189779ms,1.041561999s,8
F52605#F49058,1.042392ms,710.219268ms,2
F42050#F2458,1.44686ms,667.824638ms,5
F36254#F43672,1.693268ms,1.059505872s,13
F11896#F44969,1.705949ms,862.757558ms,11
F3909#F59272,918.581µs,835.828146ms,1
F41795#F27576,1.603096ms,696.770143ms,8
F2999#F20262,2.345391ms,1.196716081s,25
F8525#F26798,1.452422ms,815.436226ms,6
F59733#F41500,810.489µs,988.484499ms,0
F49195#F46528,851.602µs,771.886314ms,2
F26843#F46242,1.007294ms,713.921902ms,3
F40583#F28826,1.652679ms,1.112538687s,16
F38843#F42223,1.773851ms,873.022324ms,6
F10183#F59310,815.65µs,772.887802ms,2
F60824#F56307,632.285µs,972.544554ms,0
F39720#F52890,1.763018ms,915.421054ms,5
F53391#F24437,1.200559ms,657.204274ms,4
F55048#F24688,1.211447ms,659.385281ms,4
F17480#F62906,756.601µs,1.073985339s,1
F22593#F38594,2.512605ms,1.14803507s,10
F1642#F61189,713.2µs,975.736954ms,1
F38885#F24171,1.881712ms,908.87217ms,9
F60353#F27483,950.616µs,987.304891ms,1
F36386#F3771,2.00883ms,1.039649383s,11
F35791#F35783,715.969µs,1.096740858s,0
F29543#F44082,1.427903ms,649.257734ms,0
F56421#F23162,592.397µs,1.091373929s,1
F48150#F16730,1.890705ms,820.947203ms,8
F32167#F48740,853.264µs,771.135398ms,1
F47087#F25311,1.406444ms,731.002182ms,2
F17021#F29910,1.69465ms,912.401775ms,11
F11017#F51717,1.472084ms,1.042121258s,7
F21385#F11576,2.114124ms,924.000838ms,7
F4854#F48290,1.026985ms,675.645279ms,4
F3496#F62535,715.146µs,1.089895365s,1
F58390#F49861,770.808µs,1.098619198s,0
F52209#F58202,906.252µs,738.889421ms,0
F32175#F54382,659.591µs,1.176327699s,0
F51949#F55988,1.500852ms,863.63006ms,4
F12617#F35280,832.915µs,743.020448ms,1
F754#F40813,1.733122ms,812.175646ms,8
F61890#F11570,654.345µs,978.975418ms,0
F46162#F45533,1.502045ms,683.126128ms,4
F61711#F53614,723.394µs,912.520365ms,1
F20924#F4508,3.619447ms,1.267326992s,30
F57126#F4272,737.359µs,857.83587ms,1
F14692#F1529,6.233763ms,1.23101148s,37
F21381#F4772,1.903626ms,1.017264373s,11
F39842#F60584,726.023µs,1.037521102s,0
F54528#F39519,1.131361ms,707.603209ms,5
F17576#F21754,668.242µs,1.026364923s,1
F60230#F62817,665.279µs,1.063664136s,0
F34731#F43115,1.100887ms,722.639604ms,1
F48398#F962,1.159945ms,668.811552ms,3
F19158#F25032,2.123194ms,1.202268157s,25
F28213#F39050,1.05987ms,907.067367ms,5
F14611#F59055,749.376µs,1.014105513s,1
F45828#F8419,824.243µs,736.117873ms,2
F2758#F30923,756.891µs,776.538771ms,2
F52551#F61696,743.981µs,1.057858095s,0
F16044#F20392,2.316616ms,1.098618026s,18
F53978#F38847,878.767µs,767.123404ms,0
F40856#F34921,1.117319ms,673.54101ms,1
F10420#F27963,1.638039ms,645.509624ms,9
F6436#F4970,1.539236ms,1.105107382s,12
F6585#F10415,2.388675ms,1.175258068s,16
F49441#F6340,1.493123ms,816.64948ms,8
F53873#F32236,746.514µs,1.070847279s,0
F21747#F31730,1.35013ms,688.116903ms,2
F4815#F15632,3.345367ms,1.500031991s,45
F10317#F37978,1.265834ms,675.57221ms,3
F52380#F42236,1.068121ms,678.329019ms,2
F44397#F34211,1.909663ms,1.049043027s,7
F49383#F16405,2.089443ms,1.060833509s,12
F25274#F42129,1.890473ms,854.721015ms,8
F35442#F17051,716.077µs,1.137325994s,1
F11521#F11840,2.098892ms,1.030360426s,14
F61173#F27526,491.352µs,1.120692043s,0
F1598#F4877,4.198391ms,1.243849808s,46
F62878#F31375,728.981µs,1.147768799s,1
F28558#F62327,664.916µs,979.871771ms,1
F47324#F25660,655.843µs,998.415436ms,0
F57898#F34567,907.663µs,807.073132ms,2
F4755#F11840,2.489814ms,1.057004891s,14
F41800#F22473,1.678725ms,857.760725ms,7
F33746#F23605,1.484048ms,847.549154ms,6
F50542#F24824,949.778µs,745.56523ms,3
F28036#F13852,2.598087ms,1.204360983s,26
F59044#F23571,855.397µs,698.175847ms,2
F40782#F22566,1.270265ms,704.120847ms,2
F39751#F25312,675.723µs,762.280694ms,2
F13664#F5675,2.935099ms,1.334011508s,23
F23244#F52991,475.419µs,716.673033ms,2
F54135#F45471,1.103493ms,684.80173ms,4
F46650#F48765,1.681548ms,643.635859ms,7
F17860#F20917,2.175902ms,1.197834295s,18
F15548#F36720,1.127029ms,667.723942ms,5
F13456#F7466,3.2368ms,1.23218441s,40
F63263#F9303,246.668µs,1.055597547s,1
F22294#F45407,1.84068ms,997.151758ms,7
F25994#F61924,698.853µs,983.902915ms,1
F11538#F30424,2.016172ms,1.198874037s,17
F789#F13260,3.13366ms,1.222778407s,24
F24504#F22388,1.087826ms,701.365921ms,5
F8043#F21441,1.616484ms,1.196162559s,17
F24055#F56142,721.202µs,1.093799168s,1
F13096#F5112,3.698986ms,1.160611817s,30
F61622#F30423,511.681µs,1.016060913s,1
