keyword,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F6542#F8109,72,35,109,0,40,1,9738
F8396#F8109,81,37,120,1,80,2,9738
F8975#F8109,67,78,147,2,120,3,9738
F5981#F8109,56,87,144,4,160,4,9738
F7550#F8109,74,96,171,4,200,5,9738
F1014#F8109,101,50,152,2,240,6,9738
F6976#F8109,62,78,141,4,280,7,9738
F8581#F8109,130,52,183,3,320,8,9738
F4784#F8109,76,71,149,4,360,9,9738
F285#F8109,108,55,164,3,400,10,9738
F9078#F8109,61,49,110,7,440,11,9738
F931#F8109,70,66,137,6,480,12,9738
F9327#F8109,73,70,145,6,520,13,9738
F9803#F8109,103,43,147,4,560,14,9738
F8361#F8109,76,68,145,5,600,15,9738
F6479#F8109,87,50,138,11,640,16,9738
F9786#F8109,74,58,133,6,680,17,9738
F1812#F8109,103,71,175,7,720,18,9738
F1453#F8109,90,70,161,7,760,19,9738
F5044#F8109,132,69,202,6,800,20,9738
F7699#F8109,97,124,221,6,840,21,9738
F4127#F8109,116,127,243,7,880,22,9738
F4989#F8109,170,68,240,5,920,23,9738
F2777#F8109,83,110,194,8,960,24,9738
F35#F8109,94,61,155,6,1000,25,9738
F5631#F8109,90,75,165,10,1040,26,9738
F6021#F8109,96,68,166,11,1080,27,9738
F5385#F8109,102,77,180,14,1120,28,9738
F215#F8109,106,124,231,13,1160,29,9738
F5570#F8109,99,70,170,13,1200,30,9738
F6094#F8109,127,83,211,13,1240,31,9738
F3769#F8109,120,73,194,11,1280,32,9738
F5287#F8109,97,72,170,6,1320,33,9738
F5424#F8109,124,81,206,13,1360,34,9738
F3964#F8109,103,81,185,15,1400,35,9738
F1813#F8109,112,73,185,15,1440,36,9738
F7267#F8109,104,70,175,12,1480,37,9738
F5517#F8109,141,94,236,15,1520,38,9738
F9774#F8109,143,80,225,9,1560,39,9738
F8700#F8109,115,85,201,15,1600,40,9738
F3987#F8109,122,82,205,17,1640,41,9738
F9914#F8109,135,78,214,14,1680,42,9738
F9286#F8109,132,85,218,23,1720,43,9738
F5382#F8109,115,82,198,18,1760,44,9738
F6186#F8109,128,86,214,18,1800,45,9738
F5597#F8109,181,106,289,17,1840,46,9738
F3875#F8109,121,141,263,20,1880,47,9738
F5577#F8109,126,136,264,13,1920,48,9738
F3105#F8109,149,90,240,22,1960,49,9738
F6035#F8109,127,135,263,19,2000,50,9738
F2790#F8109,123,95,219,16,2040,51,9738
F5436#F8109,130,91,222,21,2080,52,9738
F3901#F8109,127,147,275,15,2120,53,9738
F2506#F8109,191,147,339,14,2160,54,9738
F3919#F8109,130,89,220,21,2200,55,9738
F8132#F8109,142,121,265,21,2240,56,9738
F9882#F8109,137,92,230,19,2280,57,9738
F748#F8109,138,145,284,14,2320,58,9738
F7607#F8109,144,136,281,16,2360,59,9738
F1268#F8109,197,99,297,20,2400,60,9738
F1717#F8109,145,145,291,17,2440,61,9738
F6082#F8109,150,99,250,28,2480,62,9738
F2782#F8109,163,108,272,16,2520,63,9738
F780#F8109,158,102,261,19,2560,64,9738
F3905#F8109,152,149,303,26,2600,65,9738
F1880#F8109,153,111,265,19,2640,66,9738
F7721#F8109,162,106,269,20,2680,67,9738
F6747#F8109,175,112,287,24,2720,68,9738
F1761#F8109,217,104,322,24,2760,69,9738
F3795#F8109,173,107,281,21,2800,70,9738
F3911#F8109,175,104,280,16,2840,71,9738
F1165#F8109,165,148,314,23,2880,72,9738
F460#F8109,170,107,278,27,2920,73,9738
F1760#F8109,175,149,325,25,2960,74,9738
F2687#F8109,180,107,288,23,3000,75,9738
F3566#F8109,170,115,286,25,3040,76,9738
F8692#F8109,184,114,299,21,3080,77,9738
F2393#F8109,174,117,291,29,3120,78,9738
F1877#F8109,205,120,326,29,3160,79,9738
