keyword,clientTime,serverTime,totalTime,resultLength,payloadSize,w1,w2
F6542#F8109,72.0,35.0,107.0,0,40,1,9738
F8396#F8109,81.0,37.0,118.0,1,80,2,9738
F8975#F8109,67.0,55.5,122.5,2,120,3,9738
F5981#F8109,56.0,74.0,130.0,4,160,4,9738
F7550#F8109,70.0,62.0,132.0,4,200,5,9738
F1014#F8109,66.0,50.0,116.0,2,240,6,9738
F6976#F8109,62.0,58.333333333333336,120.33333333333334,4,280,7,9738
F8581#F8109,70.85714285714285,52.0,122.85714285714285,3,320,8,9738
F4784#F8109,76.0,58.5,134.5,4,360,9,9738
F285#F8109,68.5,55.0,123.5,3,400,10,9738
F9078#F8109,61.0,49.0,110.0,7,440,11,9738
F931#F8109,70.0,53.45454545454545,123.45454545454545,6,480,12,9738
F9327#F8109,73.0,48.22727272727273,121.22727272727272,6,520,13,9738
F9803#F8109,78.61538461538461,43.0,121.61538461538461,4,560,14,9738
F8361#F8109,76.0,46.07142857142857,122.07142857142857,5,600,15,9738
F6479#F8109,87.0,50.0,137.0,11,640,16,9738
F9786#F8109,74.0,58.0,132.0,6,680,17,9738
F1812#F8109,78.3529411764706,61.411764705882355,139.76470588235296,7,720,18,9738
F1453#F8109,90.0,70.0,160.0,7,760,19,9738
F5044#F8109,94.73684210526315,69.0,163.73684210526315,6,800,20,9738
F7699#F8109,97.0,72.45,169.45,6,840,21,9738
F4127#F8109,116.0,75.9,191.9,7,880,22,9738
F4989#F8109,99.5,68.0,167.5,5,920,23,9738
F2777#F8109,83.0,70.95652173913044,153.95652173913044,8,960,24,9738
F35#F8109,94.0,61.0,155.0,6,1000,25,9738
F5631#F8109,90.0,63.440000000000005,153.44,10,1040,26,9738
F6021#F8109,96.0,68.0,164.0,11,1080,27,9738
F5385#F8109,102.0,77.0,179.0,14,1120,28,9738
F215#F8109,106.0,79.75000000000001,185.75,13,1160,29,9738
F5570#F8109,99.0,70.0,169.0,13,1200,30,9738
F6094#F8109,102.30000000000001,83.0,185.3,13,1240,31,9738
F3769#F8109,120.0,73.0,193.0,11,1280,32,9738
F5287#F8109,97.0,72.0,169.0,6,1320,33,9738
F5424#F8109,99.93939393939394,81.0,180.93939393939394,13,1360,34,9738
F3964#F8109,103.0,81.0,184.0,15,1400,35,9738
F1813#F8109,112.0,73.0,185.0,15,1440,36,9738
F7267#F8109,104.0,70.0,174.0,12,1480,37,9738
F5517#F8109,106.8108108108108,71.89189189189189,178.7027027027027,15,1520,38,9738
F9774#F8109,109.62162162162163,80.0,189.6216216216216,9,1560,39,9738
F8700#F8109,115.0,85.0,200.0,15,1600,40,9738
F3987#F8109,122.0,82.0,204.0,17,1640,41,9738
F9914#F8109,135.0,78.0,213.0,14,1680,42,9738
F9286#F8109,132.0,85.0,217.0,23,1720,43,9738
F5382#F8109,115.0,82.0,197.0,18,1760,44,9738
F6186#F8109,128.0,86.0,214.0,18,1800,45,9738
F5597#F8109,130.84444444444443,87.9111111111111,218.75555555555553,17,1840,46,9738
F3875#F8109,121.0,89.82222222222222,210.82222222222222,20,1880,47,9738
F5577#F8109,126.0,91.73333333333332,217.73333333333332,13,1920,48,9738
F3105#F8109,149.0,90.0,239.0,22,1960,49,9738
F6035#F8109,127.0,91.83673469387756,218.83673469387756,19,2000,50,9738
F2790#F8109,123.0,95.0,218.0,16,2040,51,9738
F5436#F8109,130.0,91.0,221.0,21,2080,52,9738
F3901#F8109,127.0,92.75,219.75,15,2120,53,9738
F2506#F8109,129.39622641509433,94.5,223.89622641509433,14,2160,54,9738
F3919#F8109,130.0,89.0,219.0,21,2200,55,9738
F8132#F8109,142.0,90.61818181818181,232.61818181818182,21,2240,56,9738
F9882#F8109,137.0,92.0,229.0,19,2280,57,9738
F748#F8109,138.0,93.6140350877193,231.6140350877193,14,2320,58,9738
F7607#F8109,144.0,95.22807017543859,239.22807017543857,16,2360,59,9738
F1268#F8109,146.4406779661017,99.0,245.4406779661017,20,2400,60,9738
F1717#F8109,145.0,100.64999999999999,245.64999999999998,17,2440,61,9738
F6082#F8109,150.0,99.0,249.0,28,2480,62,9738
F2782#F8109,163.0,108.0,271.0,16,2520,63,9738
F780#F8109,158.0,102.0,260.0,19,2560,64,9738
F3905#F8109,152.0,103.59375,255.59375,26,2600,65,9738
F1880#F8109,153.0,111.0,264.0,19,2640,66,9738
F7721#F8109,162.0,106.0,268.0,20,2680,67,9738
F6747#F8109,175.0,112.0,287.0,24,2720,68,9738
F1761#F8109,177.5735294117647,104.0,281.5735294117647,24,2760,69,9738
F3795#F8109,173.0,107.0,280.0,21,2800,70,9738
F3911#F8109,175.0,104.0,279.0,16,2840,71,9738
F1165#F8109,165.0,105.46478873239437,270.46478873239437,23,2880,72,9738
F460#F8109,170.0,107.0,277.0,27,2920,73,9738
