keyword ,clientTime ,serverTime ,totalTime ,resultLength ,payloadSize ,w1
F0#F7   ,       313 ,       131 ,      446 ,           0 ,        400 ,      10
F0#F1   ,       155 ,       125 ,      281 ,           0 ,        400 ,      10
F0#F2   ,       156 ,       127 ,      284 ,           0 ,        400 ,      10
F0#F3   ,       153 ,       125 ,      279 ,           0 ,        400 ,      10
F0#F4   ,       160 ,       123 ,      284 ,           0 ,        400 ,      10
F0#F5   ,       158 ,       126 ,      284 ,           1 ,        400 ,      10
F0#F6   ,       165 ,       125 ,      292 ,           4 ,        400 ,      10
F1#F6   ,      1607 ,      1307 ,     2915 ,          52 ,       4000 ,     100
F2#F6   ,     15775 ,     13127 ,    28904 ,         522 ,      40000 ,    1000
F3#F6   ,    158629 ,    133118 ,   291761 ,        4972 ,     400000 ,   10000
F4#F6   ,   1610534 ,   1354540 ,  2965200 ,       49821 ,    4000000 ,  100000
F5#F6   ,  16115608 ,  13530444 , 29646094 ,      502794 ,   40000000 , 1000000
F13#F6  ,  17808504 ,  14102815 , 31912523 ,      502114 ,   40000000 ,10000000
