keyword       ,clientTimeList ,serverTime ,totalTime ,resultLength ,counter
F24246#F35798 ,            58 ,    916843 ,   916904 ,           1 ,      0
F26058#F38169 ,           352 ,    808764 ,   809119 ,           7 ,      7
F457#F15241   ,          2446 ,    937617 ,   940066 ,          35 ,     56
F62532#F15114 ,            52 ,    815352 ,   815408 ,           1 ,      0
F37132#F62283 ,            53 ,    816563 ,   816619 ,           0 ,      0
F2958#F6934   ,          3827 ,    802994 ,   806823 ,          61 ,     88
F29629#F50883 ,           655 ,    797111 ,   797769 ,           7 ,     14
F52605#F49058 ,           178 ,    905739 ,   905918 ,           2 ,      3
F42050#F2458  ,           414 ,    832392 ,   832809 ,           5 ,      8
F36254#F43672 ,           862 ,    963430 ,   964294 ,          13 ,     18
F11896#F44969 ,           509 ,    861793 ,   862303 ,          11 ,     10
F3909#F59272  ,           100 ,    837616 ,   837718 ,           1 ,      1
F41795#F27576 ,           406 ,    826520 ,   826928 ,           8 ,      8
F2999#F20262  ,          1417 ,    832939 ,   834358 ,          25 ,     31
F8525#F26798  ,           321 ,    902833 ,   903157 ,           6 ,      6
F59733#F41500 ,            52 ,    804992 ,   805046 ,           0 ,      0
F49195#F46528 ,           142 ,    903711 ,   903855 ,           2 ,      2
F26843#F46242 ,           179 ,    845918 ,   846099 ,           3 ,      3
F40583#F28826 ,           912 ,    813230 ,   814145 ,          16 ,     20
F38843#F42223 ,           435 ,    799697 ,   800134 ,           6 ,      9
F10183#F59310 ,            93 ,    799275 ,   799369 ,           1 ,      1
F60824#F56307 ,            53 ,    880177 ,   880232 ,           0 ,      0
F39720#F52890 ,           442 ,    834004 ,   834448 ,           5 ,      9
F53391#F24437 ,           277 ,    906320 ,   906599 ,           4 ,      5
F55048#F24688 ,           292 ,    916518 ,   916813 ,           4 ,      5
F17480#F62906 ,            54 ,    841405 ,   841462 ,           1 ,      0
F22593#F38594 ,           931 ,    811166 ,   812099 ,           9 ,     20
F1642#F61189  ,            54 ,    815506 ,   815563 ,           1 ,      0
F38885#F24171 ,           625 ,    879821 ,   880449 ,           9 ,     13
F60353#F27483 ,            99 ,    824073 ,   824176 ,           1 ,      0
F36386#F3771  ,           652 ,    830684 ,   831338 ,          11 ,     14
F35791#F35783 ,            49 ,    927464 ,   927516 ,           0 ,      0
F29543#F44082 ,           263 ,    808054 ,   808319 ,           0 ,      5
F56421#F23162 ,            51 ,    798639 ,   798692 ,           1 ,      0
F48150#F16730 ,           475 ,    793781 ,   794258 ,           8 ,     10
F32167#F48740 ,            98 ,    792192 ,   792292 ,           1 ,      1
F47087#F25311 ,           180 ,    899225 ,   899407 ,           2 ,      3
F17021#F29910 ,           639 ,    856780 ,   857421 ,          11 ,     13
F11017#F51717 ,           724 ,    988802 ,   989528 ,           7 ,     15
F21385#F11576 ,           687 ,    860310 ,   860999 ,           7 ,     14
F4854#F48290  ,           189 ,    822676 ,   822867 ,           4 ,      3
F3496#F62535  ,            52 ,    795951 ,   796005 ,           1 ,      0
F58390#F49861 ,            50 ,    800757 ,   800809 ,           0 ,      0
F52209#F58202 ,            93 ,    900999 ,   901094 ,           0 ,      1
F32175#F54382 ,            53 ,    835716 ,   835772 ,           0 ,      0
F51949#F55988 ,           321 ,    972563 ,   972886 ,           3 ,      6
F12617#F35280 ,            99 ,    851733 ,   851835 ,           1 ,      1
F754#F40813   ,           370 ,    837795 ,   838167 ,           8 ,      7
F61890#F11570 ,            55 ,    828993 ,   829050 ,           0 ,      0
F46162#F45533 ,           278 ,    824269 ,   824549 ,           4 ,      5
F61711#F53614 ,            54 ,    905678 ,   905734 ,           1 ,      0
F20924#F4508  ,          1947 ,    843223 ,   845173 ,          30 ,     43
F57126#F4272  ,            96 ,    968779 ,   968877 ,           1 ,      1
F14692#F1529  ,          2532 ,    871755 ,   874290 ,          35 ,     55
F21381#F4772  ,           632 ,    856705 ,   857340 ,          10 ,     13
F39842#F60584 ,            52 ,    849551 ,   849606 ,           0 ,      0
F54528#F39519 ,           244 ,    855385 ,   855631 ,           4 ,      4
F17576#F21754 ,            55 ,    926527 ,   926585 ,           1 ,      0
F60230#F62817 ,            52 ,    856164 ,   856218 ,           0 ,      0
F34731#F43115 ,           144 ,    958180 ,   958326 ,           1 ,      2
F48398#F962   ,           193 ,    886390 ,   886585 ,           3 ,      3
F19158#F25032 ,          1431 ,    856874 ,   858307 ,          25 ,     31
F28213#F39050 ,           544 ,    854075 ,   854621 ,           5 ,     11
F14611#F59055 ,            55 ,    852009 ,   852065 ,           1 ,      0
F45828#F8419  ,           101 ,    909963 ,   910065 ,           2 ,      1
F2758#F30923  ,            96 ,    803566 ,   803665 ,           2 ,      1
F52551#F61696 ,            53 ,    880158 ,   880214 ,           0 ,      0
F16044#F20392 ,           954 ,    895946 ,   896903 ,          18 ,     20
F53978#F38847 ,            99 ,    837146 ,   837247 ,           0 ,      1
F40856#F34921 ,           231 ,    827733 ,   827966 ,           1 ,      4
F10420#F27963 ,           422 ,    826160 ,   826584 ,           9 ,      8
F6436#F4970   ,           679 ,    897535 ,   898216 ,          12 ,     14
F6585#F10415  ,          1005 ,    831352 ,   832360 ,          16 ,     22
F49441#F6340  ,           417 ,    879295 ,   879714 ,           8 ,      8
F53873#F32236 ,            54 ,    954196 ,   954253 ,           0 ,      0
F21747#F31730 ,           274 ,    847142 ,   847418 ,           2 ,      5
F4815#F15632  ,          3083 ,    842441 ,   845526 ,          44 ,     68
F10317#F37978 ,           276 ,    830609 ,   830887 ,           3 ,      5
F52380#F42236 ,           188 ,    851134 ,   851324 ,           2 ,      3
F44397#F34211 ,           997 ,    882423 ,   883424 ,           6 ,     13
F49383#F16405 ,           812 ,    849636 ,   850450 ,          11 ,     17
F25274#F42129 ,           593 ,    972475 ,   973071 ,           8 ,     12
F35442#F17051 ,            55 ,    850980 ,   851038 ,           1 ,      0
F11521#F11840 ,           917 ,    834180 ,   835099 ,          13 ,     19
F61173#F27526 ,            52 ,    830746 ,   830800 ,           0 ,      0
F1598#F4877   ,          2657 ,    843291 ,   845950 ,          45 ,     58
F62878#F31375 ,            54 ,    894559 ,   894616 ,           1 ,      0
F28558#F62327 ,            66 ,    815351 ,   815420 ,           1 ,      0
F47324#F25660 ,            63 ,    938355 ,   938420 ,           0 ,      0
F57898#F34567 ,           131 ,    809282 ,   809416 ,           2 ,      1
F4755#F11840  ,           862 ,    798020 ,   798884 ,          13 ,     19
F41800#F22473 ,           488 ,    792626 ,   793116 ,           7 ,     10
F33746#F23605 ,           303 ,    792112 ,   792418 ,           6 ,      6
F50542#F24824 ,           137 ,    907751 ,   907890 ,           3 ,      2
F28036#F13852 ,          1298 ,    837330 ,   838631 ,          23 ,     28
F59044#F23571 ,           188 ,    969723 ,   969912 ,           2 ,      3
F40782#F22566 ,           249 ,    856383 ,   856634 ,           2 ,      4
F39751#F25312 ,           102 ,    839171 ,   839274 ,           2 ,      1
F13664#F5675  ,          1753 ,    830122 ,   831878 ,          22 ,     38
F23244#F52991 ,           232 ,    827796 ,   828031 ,           2 ,      4
F54135#F45471 ,           237 ,    901775 ,   902014 ,           3 ,      4
F46650#F48765 ,           422 ,    795349 ,   795774 ,           7 ,      8
F17860#F20917 ,          1289 ,    935019 ,   936311 ,          18 ,     29
F15548#F36720 ,           285 ,    868221 ,   868508 ,           5 ,      5
F13456#F7466  ,          2718 ,    844428 ,   847149 ,          37 ,     60
F63263#F9303  ,            52 ,    830974 ,   831028 ,           1 ,      0
F22294#F45407 ,           586 ,    827140 ,   827729 ,           6 ,     12
F25994#F61924 ,            54 ,    897512 ,   897568 ,           1 ,      0
F11538#F30424 ,          1040 ,    833773 ,   834815 ,          16 ,     22
F789#F13260   ,          1659 ,    939018 ,   940679 ,          23 ,     36
F24504#F22388 ,           294 ,    890192 ,   890489 ,           5 ,      5
F8043#F21441  ,           992 ,    841727 ,   842720 ,          17 ,     21
F24055#F56142 ,            53 ,    830867 ,   830923 ,           1 ,      0
F13096#F5112  ,          2314 ,    830264 ,   832579 ,          27 ,     51
F61622#F30423 ,            53 ,    898491 ,   898547 ,           1 ,      0
F13929#F29974 ,           192 ,    842037 ,   842231 ,           3 ,      3
F2164#F27095  ,           676 ,    911781 ,   912459 ,          11 ,     14
F24699#F40274 ,           655 ,    927735 ,   928392 ,           6 ,     13
F8338#F15187  ,          3270 ,    849162 ,   852435 ,          47 ,     72
F13683#F22982 ,          1530 ,    836233 ,   837764 ,          29 ,     33
F58736#F51541 ,           147 ,    832539 ,   832688 ,           1 ,      2
F42967#F4575  ,           381 ,    907305 ,   907688 ,           7 ,      7
F56352#F29439 ,           206 ,    816309 ,   816518 ,           0 ,      0
F51153#F1510  ,           609 ,    834347 ,   834959 ,          10 ,     13
F28386#F56126 ,           139 ,    917362 ,   917503 ,           1 ,      2
F13853#F1750  ,           915 ,    813090 ,   814008 ,          15 ,     20
F45288#F56532 ,           461 ,    837354 ,   837818 ,           9 ,      9
F61245#F62464 ,            52 ,    832127 ,   832181 ,           0 ,      0
F2676#F58562  ,           143 ,    830368 ,   830513 ,           1 ,      2
F8148#F48172  ,           146 ,    912587 ,   912735 ,           3 ,      2
F50296#F39375 ,           639 ,    855465 ,   856106 ,           7 ,     13
F48065#F33296 ,           143 ,    971719 ,   971864 ,           0 ,      2
F61158#F1621  ,            53 ,    855753 ,   855808 ,           1 ,      0
F10589#F40937 ,           723 ,    856330 ,   857055 ,          12 ,     15
F30450#F33264 ,            52 ,    833423 ,   833477 ,           0 ,      0
F9094#F23375  ,          1742 ,    839499 ,   841243 ,          30 ,     38
F21911#F63172 ,            54 ,    908465 ,   908521 ,           1 ,      0
F2273#F25824  ,          1192 ,    818473 ,   819669 ,          21 ,     26
F19773#F48342 ,           457 ,    970266 ,   970726 ,           8 ,      9
F37346#F56351 ,            99 ,    849993 ,   850094 ,           1 ,      1
F1369#F44212  ,            56 ,    836129 ,   836188 ,           1 ,      0
F29520#F7691  ,            55 ,    832715 ,   832773 ,           1 ,      0
F57524#F25531 ,            54 ,    833011 ,   833068 ,           1 ,      0
F15195#F26748 ,           911 ,    911645 ,   912558 ,          14 ,     19
F56319#F63656 ,            50 ,    806014 ,   806067 ,           0 ,      0
F12800#F33265 ,            54 ,    932220 ,   932277 ,           1 ,      0
F3709#F44661  ,           579 ,    829421 ,   830002 ,           9 ,     12
F57344#F10361 ,           312 ,    810002 ,   810317 ,           7 ,      6
F20555#F44086 ,           226 ,    821774 ,   822002 ,           5 ,      4
F24754#F23172 ,          1518 ,    810017 ,   811538 ,          15 ,     33
F6509#F6860   ,          2225 ,    905162 ,   907390 ,          36 ,     49
F16393#F21911 ,          1430 ,    832780 ,   834213 ,          21 ,     31
F6806#F27085  ,           140 ,    951881 ,   952024 ,           3 ,      2
F13665#F51673 ,            53 ,    872756 ,   872811 ,           0 ,      0
F43756#F12114 ,           461 ,    839900 ,   840364 ,           8 ,      9
F35589#F61753 ,            53 ,    792766 ,   792821 ,           1 ,      0
F17478#F10040 ,          2217 ,    796331 ,   798550 ,          31 ,     51
F26052#F29467 ,           862 ,    875272 ,   876136 ,          13 ,     19
F10826#F19437 ,           593 ,    832635 ,   833231 ,          10 ,     12
F13629#F35017 ,           100 ,    927464 ,   927567 ,           1 ,      1
F16127#F43345 ,           649 ,    905160 ,   905812 ,          13 ,     13
F5070#F5679   ,          1660 ,    841758 ,   843421 ,          22 ,     36
F45902#F50366 ,           320 ,    832457 ,   832779 ,           5 ,      6
F7948#F24551  ,          1490 ,    829194 ,   830686 ,          24 ,     32
F37278#F63265 ,            53 ,    895821 ,   895876 ,           0 ,      0
F46630#F19402 ,           408 ,    808475 ,   808885 ,           9 ,      8
F60778#F37053 ,           186 ,    848440 ,   848629 ,           3 ,      3
F4859#F5455   ,          1304 ,    910294 ,   911602 ,          21 ,     28
F11950#F48635 ,           482 ,    826493 ,   826977 ,          10 ,     10
F17557#F35400 ,            99 ,    828521 ,   828623 ,           1 ,      1
F1287#F19050  ,          1708 ,    827948 ,   829658 ,          28 ,     37
F7696#F41610  ,           235 ,    873415 ,   873653 ,           4 ,      4
F16335#F2744  ,          3236 ,    863005 ,   866245 ,          33 ,     43
F8106#F15384  ,          2115 ,    864973 ,   867090 ,          31 ,     46
F19821#F58465 ,            54 ,    960700 ,   960756 ,           0 ,      0
F10407#F48016 ,           369 ,    843228 ,   843599 ,           7 ,      7
F14712#F41813 ,           323 ,    833883 ,   834208 ,           6 ,      6
F41270#F57368 ,           229 ,    842667 ,   842898 ,           2 ,      4
F46301#F29640 ,           231 ,    789849 ,   790082 ,           0 ,      4
F9547#F50137  ,           312 ,    875851 ,   876166 ,           2 ,      6
F30097#F17556 ,            53 ,    810351 ,   810407 ,           0 ,      0
F4784#F19703  ,          1723 ,    940211 ,   941937 ,          22 ,     39
F10919#F9077  ,           984 ,    816399 ,   817386 ,          13 ,     22
F58775#F29139 ,            51 ,    806340 ,   806394 ,           1 ,      0
F26280#F13457 ,          1165 ,    795598 ,   796766 ,          22 ,     26
F59680#F45072 ,            50 ,    793029 ,   793081 ,           1 ,      0
F3376#F28728  ,          1076 ,    885577 ,   886656 ,          16 ,     24
F18419#F40682 ,           571 ,    803963 ,   804537 ,          12 ,     12
F4450#F53724  ,            60 ,    972587 ,   972649 ,           0 ,      0
F55921#F16612 ,           144 ,    857316 ,   857463 ,           2 ,      2
F54888#F15169 ,           144 ,    844666 ,   844813 ,           3 ,      2
F30877#F59645 ,            52 ,    832234 ,   832289 ,           0 ,      0
F26207#F62660 ,            55 ,    824913 ,   824969 ,           1 ,      0
F53294#F45563 ,           232 ,    905502 ,   905736 ,           4 ,      4
F22473#F2256  ,          1075 ,    845870 ,   846947 ,          17 ,     23
F5292#F32116  ,            52 ,    966541 ,   966595 ,           1 ,      0
F43606#F28999 ,           463 ,    873682 ,   874147 ,           3 ,      9
F51577#F30826 ,            54 ,    846847 ,   846903 ,           0 ,      0
F30835#F17146 ,           327 ,    840461 ,   840791 ,           5 ,      6
F40081#F1589  ,           734 ,    839257 ,   839993 ,          12 ,     15
F2723#F38030  ,          1125 ,    911190 ,   912317 ,          20 ,     24
F32941#F13810 ,           140 ,    838576 ,   838718 ,           3 ,      2
F42158#F32772 ,            52 ,    941752 ,   941807 ,           0 ,      0
F48472#F737   ,           462 ,    887362 ,   887826 ,           9 ,      9
F43701#F62624 ,            53 ,    846506 ,   846562 ,           0 ,      0
F27127#F16795 ,           949 ,    832937 ,   833889 ,          14 ,     20
F14461#F37121 ,           895 ,    828514 ,   829411 ,          17 ,     19
F51844#F20991 ,           591 ,    903177 ,   903770 ,           7 ,     12
F58208#F11269 ,            52 ,    810628 ,   810682 ,           1 ,      0
F27158#F35900 ,            94 ,    885692 ,   885788 ,           1 ,      1
F6702#F40719  ,           800 ,    918862 ,   919665 ,           8 ,     16
F8576#F29016  ,           855 ,    840657 ,   841514 ,          13 ,     18
F18181#F53998 ,            53 ,    841937 ,   841993 ,           1 ,      0
F51685#F60433 ,           190 ,    834509 ,   834701 ,           1 ,      3
F41386#F5654  ,          1038 ,    899589 ,   900630 ,          12 ,     22
F57845#F44970 ,            97 ,    814736 ,   814836 ,           1 ,      1
F48153#F4495  ,           444 ,    846043 ,   846489 ,          10 ,      9
F8783#F60477  ,            96 ,    922146 ,   922245 ,           2 ,      1
F12803#F31530 ,          1286 ,    819333 ,   820621 ,          15 ,     29
F11466#F14017 ,           359 ,    800272 ,   800633 ,           4 ,      7
F15444#F2216  ,          2503 ,    823051 ,   825556 ,          35 ,     58
F29316#F16772 ,            53 ,    828869 ,   828925 ,           0 ,      0
F39635#F62485 ,            90 ,    876582 ,   876675 ,           1 ,      0
F9223#F49033  ,           874 ,    813766 ,   814642 ,          14 ,     19
F1686#F61899  ,            51 ,    935286 ,   935339 ,           1 ,      0
F59551#F50526 ,            99 ,    808411 ,   808512 ,           1 ,      1
F49479#F23598 ,           389 ,    797931 ,   798322 ,           4 ,      8
F33434#F3368  ,            50 ,    789136 ,   789189 ,           1 ,      0
F21303#F44300 ,           228 ,    790412 ,   790643 ,           2 ,      4
F51282#F14005 ,           135 ,    891242 ,   891380 ,           1 ,      2
F8853#F60112  ,            56 ,    837958 ,   838016 ,           1 ,      0
F38328#F24129 ,           639 ,    972078 ,   972719 ,           7 ,     13
F31427#F30798 ,           859 ,    852447 ,   853309 ,           8 ,     18
F34727#F14422 ,            53 ,    837980 ,   838035 ,           1 ,      0
F52825#F7704  ,           292 ,    831349 ,   831644 ,           6 ,      5
F333#F450     ,          4042 ,    836668 ,   840711 ,          65 ,     90
F33268#F31000 ,            53 ,    906746 ,   906801 ,           1 ,      0
F52083#F32044 ,            97 ,    796888 ,   796987 ,           1 ,      1
F30056#F18963 ,           479 ,    929576 ,   930058 ,           7 ,     10
F59560#F13581 ,            96 ,    824017 ,   824115 ,           2 ,      1
F23283#F7907  ,          1462 ,    807006 ,   808471 ,          20 ,     33
F48211#F27143 ,           181 ,    790919 ,   791102 ,           2 ,      3
F36578#F40079 ,           224 ,    795750 ,   795976 ,           3 ,      4
F3966#F47815  ,           181 ,    883358 ,   883540 ,           4 ,      3
F34847#F30032 ,           350 ,    798610 ,   798962 ,           6 ,      7
F30589#F12721 ,           266 ,    912852 ,   913120 ,           3 ,      5
F37668#F28604 ,           184 ,    845774 ,   845960 ,           3 ,      3
F1456#F10582  ,           742 ,    810193 ,   810937 ,          10 ,     16
F11889#F56019 ,           177 ,    806538 ,   806717 ,           1 ,      3
F34042#F41183 ,           265 ,    807576 ,   807844 ,           2 ,      5
F14238#F54529 ,           223 ,    875495 ,   875720 ,           4 ,      4
F18505#F40211 ,           422 ,    834812 ,   835237 ,           6 ,      7
F896#F41443   ,           150 ,    920144 ,   920296 ,           3 ,      2
F61154#F22473 ,            54 ,    905530 ,   905587 ,           0 ,      0
F42255#F26583 ,           112 ,    841926 ,   842040 ,           0 ,      1
F24440#F18070 ,           597 ,    833141 ,   833740 ,           7 ,     12
F45491#F47597 ,           189 ,    825985 ,   826176 ,           3 ,      3
F61727#F19463 ,           100 ,    901997 ,   902099 ,           2 ,      1
F2716#F40630  ,           721 ,    833200 ,   833923 ,          16 ,     15
F6428#F45092  ,           460 ,    890026 ,   890489 ,           6 ,      9
F35604#F37232 ,            56 ,    939116 ,   939175 ,           1 ,      0
F48391#F9448  ,           375 ,    834599 ,   834976 ,           7 ,      7
F44278#F51755 ,           273 ,    794741 ,   795016 ,           5 ,      5
F14968#F8172  ,          1717 ,    790835 ,   792555 ,          25 ,     39
F48416#F17827 ,           517 ,    841013 ,   841533 ,           4 ,     11
F62365#F26533 ,           156 ,    840478 ,   840638 ,           2 ,      1
F5960#F36393  ,           528 ,    851308 ,   851838 ,           8 ,     11
F26166#F6811  ,           836 ,    965679 ,   966518 ,          14 ,     17
F62972#F31143 ,            53 ,    841389 ,   841444 ,           0 ,      0
F60295#F59179 ,            97 ,    833040 ,   833139 ,           0 ,      1
F63510#F25579 ,            54 ,    825142 ,   825198 ,           1 ,      0
F29258#F12342 ,           632 ,    826449 ,   827083 ,          10 ,     13
F23269#F15411 ,          1299 ,    894807 ,   896108 ,          17 ,     28
F3258#F41479  ,           694 ,    808180 ,   808876 ,          13 ,     15
F16407#F4842  ,          1259 ,    931540 ,   932801 ,          20 ,     28
F44945#F38369 ,           436 ,    809370 ,   809809 ,           4 ,      9
F2176#F60523  ,            55 ,    793987 ,   794045 ,           1 ,      0
F12239#F40834 ,           871 ,    788113 ,   788988 ,          15 ,     19
F40564#F21801 ,           686 ,    788786 ,   789474 ,          10 ,     15
F42670#F19712 ,           441 ,    888243 ,   888686 ,          10 ,      9
F46579#F1658  ,           324 ,    835206 ,   835533 ,           5 ,      6
F10457#F16336 ,          1538 ,    970263 ,   971803 ,          21 ,     33
F35298#F25575 ,            65 ,    849839 ,   849906 ,           0 ,      0
F18316#F3005  ,          2115 ,    795749 ,   797867 ,          38 ,     46
F4357#F22586  ,           603 ,    791534 ,   792139 ,          11 ,     13
F475#F25417   ,          1340 ,    827231 ,   828572 ,          21 ,     29
F5430#F8573   ,          1997 ,    912381 ,   914381 ,          29 ,     44
F55012#F57640 ,            95 ,    805050 ,   805146 ,           1 ,      1
F25417#F53408 ,           136 ,    948380 ,   948518 ,           0 ,      2
F13862#F25353 ,          1608 ,    871041 ,   872651 ,          28 ,     34
F59825#F62385 ,            52 ,    845925 ,   845980 ,           0 ,      0
F12816#F32904 ,            55 ,    839364 ,   839420 ,           1 ,      0
F49498#F20688 ,           413 ,    835793 ,   836208 ,           6 ,      8
F53071#F46029 ,           141 ,    914708 ,   914851 ,           1 ,      2
F27376#F55535 ,           136 ,    796041 ,   796179 ,           1 ,      2
F4245#F6902   ,          2068 ,    919323 ,   921393 ,          29 ,     47
F12751#F50340 ,           138 ,    855518 ,   855658 ,           2 ,      2
F51934#F48110 ,           265 ,    802030 ,   802297 ,           2 ,      5
F52522#F5823  ,           517 ,    811379 ,   811898 ,           4 ,     11
F52297#F21093 ,            54 ,    816889 ,   816944 ,           1 ,      0
F11693#F42785 ,           266 ,    893599 ,   893867 ,           6 ,      5
F17070#F53264 ,            55 ,    833864 ,   833922 ,           0 ,      0
F19898#F53902 ,           282 ,    893771 ,   894055 ,           4 ,      5
F35891#F62133 ,            52 ,    877696 ,   877751 ,           0 ,      0
F31249#F18437 ,            96 ,    803620 ,   803719 ,           2 ,      1
F63429#F51367 ,            51 ,    795244 ,   795297 ,           0 ,      0
F6746#F39505  ,           990 ,    791305 ,   792297 ,          16 ,     22
F6696#F56346  ,            54 ,    869007 ,   869063 ,           1 ,      0
F26013#F42504 ,            97 ,    814215 ,   814315 ,           0 ,      1
F23409#F44655 ,           647 ,    832718 ,   833367 ,           6 ,     14
F25997#F32144 ,            53 ,    917372 ,   917427 ,           1 ,      0
F40243#F20417 ,           864 ,    810366 ,   811232 ,          13 ,     19
F55543#F21214 ,            51 ,    799636 ,   799689 ,           0 ,      0
F41939#F16108 ,           521 ,    794333 ,   794856 ,           8 ,     11
F39471#F17491 ,            53 ,    796627 ,   796682 ,           1 ,      0
F16095#F29439 ,          1422 ,    882095 ,   883520 ,          16 ,     18
F61891#F9738  ,            54 ,    814915 ,   814971 ,           1 ,      0
F34087#F60292 ,           310 ,    934834 ,   935146 ,           2 ,      6
F13702#F33652 ,            52 ,    827210 ,   827264 ,           1 ,      0
F42350#F41836 ,           100 ,    816362 ,   816465 ,           1 ,      1
F49019#F35865 ,            52 ,    792138 ,   792193 ,           0 ,      0
F26286#F24914 ,            51 ,    817204 ,   817256 ,           1 ,      0
F25841#F28266 ,           495 ,    896245 ,   896743 ,           5 ,     10
F14971#F38271 ,           600 ,    816354 ,   816955 ,           9 ,     13
F16849#F1107  ,          1613 ,    976629 ,   978244 ,          32 ,     36
F53226#F10996 ,           194 ,    847134 ,   847330 ,           3 ,      3
F59611#F42984 ,            52 ,    795512 ,   795567 ,           1 ,      0
F934#F52141   ,            51 ,    790150 ,   790204 ,           1 ,      0
F38436#F34919 ,            93 ,    792130 ,   792225 ,           0 ,      1
F22626#F56762 ,           192 ,    893454 ,   893648 ,           4 ,      3
F37646#F57185 ,            98 ,    830606 ,   830707 ,           0 ,      1
F31684#F47941 ,            55 ,    970538 ,   970594 ,           1 ,      0
F41520#F35895 ,            55 ,    863631 ,   863688 ,           1 ,      0
F6186#F35185  ,           306 ,    795834 ,   796143 ,           5 ,      6
F61018#F1276  ,            51 ,    788759 ,   788813 ,           0 ,      0
F14298#F45986 ,           269 ,    799414 ,   799685 ,           6 ,      5
