keyword      , clientTime, serverTime, totalTime, resultLength, w1, w2
F10800#F1308 ,        173,     894276,    894450,            2,  9,    10
F10800#F10693,        154,     940001,    940157,            1,  9,    11
F10800#F11138,        160,     909586,    909749,            3,  9,    12
F10800#F10159,        162,    1257995,   1258161,            2,  9,    13
F10800#F11380,        323,     958763,    959090,            2,  9,    14
F10800#F1047 ,        168,     938589,    938759,            4,  9,    15
F10800#F10072,        163,     928032,    928198,            0,  9,    16
F10800#F10516,        164,     874503,    874670,            2,  9,    17
F10800#F10454,        169,     847264,    847435,            5,  9,    18
F10800#F14280,        162,     849064,    849229,            3,  9,    19
F10800#F10544,        169,     850594,    850765,            2,  9,    20
F10800#F10744,        165,     882469,    882636,            1,  9,    21
F10800#F10374,        170,     901733,    901905,            4,  9,    22
F10800#F1029 ,        180,     906251,    906433,            3,  9,    23
F10800#F12029,        180,     894016,    894198,            2,  9,    24
F10800#F10595,        170,     942286,    942458,            4,  9,    25
F10800#F10700,        167,     906127,    906296,            2,  9,    26
F10800#F10165,        165,     920881,    921048,            2,  9,    27
F10800#F10922,        171,     929043,    929215,            3,  9,    28
F10800#F10398,        165,     887562,    887729,            4,  9,    29
F10800#F10802,        177,     935871,    936051,            2,  9,    30
F10800#F10166,        252,    1185881,   1186137,            4,  9,    31
F10800#F13268,        157,     894615,    894775,            3,  9,    32
F10800#F10043,        162,     892316,    892479,            4,  9,    33
F10800#F11321,        165,     885796,    885963,            2,  9,    34
F10800#F10115,        166,     843506,    843674,            4,  9,    35
F10800#F11053,        158,     830825,    830986,            4,  9,    36
F10800#F11114,        166,     832788,    832956,            4,  9,    37
F10800#F10237,        158,     839405,    839565,            3,  9,    38
F10800#F10942,        174,     898876,    899053,            4,  9,    39
F10800#F10450,        176,     862636,    862815,            2,  9,    40
F10800#F11220,        162,     905987,    906151,            4,  9,    41
F10800#F10055,        173,     897079,    897254,            4,  9,    42
F10800#F10494,        153,     871107,    871263,            4,  9,    43
F10800#F10158,        163,     874852,    875017,            2,  9,    44
F10800#F10205,        170,     913624,    913797,            4,  9,    45
F10800#F10813,        166,     910136,    910304,            4,  9,    46
F10800#F10081,        174,     848805,    848981,            4,  9,    47
