keyword,clientTime,serverTime,totalTime,resultLength,w1,w2
F10031#F1438,63,1174631,1174697,1,1,16644
F1021#F1438,43,1182095,1182140,2,2,16644
F10467#F1438,64,1197222,1197289,3,3,16644
F11486#F1438,116,1892998,1893118,4,4,16644
F10068#F1438,96,1149869,1149968,4,5,16644
F10259#F1438,107,1202401,1202510,4,6,16644
F12293#F1438,124,1125810,1125937,7,7,16644
F10311#F1438,197,1153079,1153279,7,8,16644
F13312#F1438,151,1075563,1075717,7,9,16644
F10800#F1438,174,1084089,1084266,7,10,16644
F1308#F1438,186,1074156,1074345,7,11,16644
F10693#F1438,201,1096483,1096687,9,12,16644
F11138#F1438,215,1167733,1167952,7,13,16644
F10159#F1438,240,1158278,1158521,10,14,16644
F11380#F1438,249,1159258,1159510,10,15,16644
F1047#F1438,280,1924092,1924375,9,16,16644
F10072#F1438,299,1179105,1179407,10,17,16644
F10516#F1438,292,1134441,1134736,11,18,16644
F10454#F1438,306,1175607,1175916,14,19,16644
F14280#F1438,345,1149893,1150241,16,20,16644
F10544#F1438,326,1165069,1165398,10,21,16644
F10744#F1438,357,1085503,1085862,15,22,16644
F10374#F1438,384,1077307,1077694,11,23,16644
F1029#F1438,400,1109603,1110006,11,24,16644
F12029#F1438,607,1101265,1101875,14,25,16644
F10595#F1438,434,1169979,1170415,15,26,16644
F10700#F1438,456,1189018,1189478,11,27,16644
F10165#F1438,468,1538200,1538671,19,28,16644
F10922#F1438,781,1444929,1445714,19,29,16644
F10398#F1438,498,1173247,1173747,19,30,16644
F10802#F1438,481,1162514,1162998,13,31,16644
F10166#F1438,535,1171985,1172523,16,32,16644
F13268#F1438,536,1171951,1172490,17,33,16644
F10043#F1438,590,1186570,1187165,17,34,16644
F11321#F1438,568,1126352,1126922,13,35,16644
F10115#F1438,575,1108871,1109449,20,36,16644
F11053#F1438,607,1120789,1121400,16,37,16644
F11114#F1438,621,1095988,1096611,21,38,16644
F10237#F1438,603,1150444,1151050,13,39,16644
F10942#F1438,680,1736182,1736865,22,40,16644
F10450#F1438,1056,1403451,1404511,19,41,16644
F11220#F1438,679,1159934,1160616,18,42,16644
F10055#F1438,682,1185358,1186044,22,43,16644
F10494#F1438,741,1162183,1162926,26,44,16644
F10158#F1438,720,1172040,1172764,18,45,16644
F10205#F1438,737,1155687,1156427,24,46,16644
F10813#F1438,790,1175099,1175891,26,47,16644
F10081#F1438,757,1102748,1103508,25,48,16644
F10014#F1438,796,1089650,1090450,18,49,16644
F10136#F1438,797,1106749,1107549,23,50,16644
F11604#F1438,808,1092464,1093275,22,51,16644
F10195#F1438,806,1880991,1881801,20,52,16644
F10355#F1438,1388,1184709,1186101,22,53,16644
F11076#F1438,884,1124418,1125305,19,54,16644
F10378#F1438,889,1154004,1154896,22,55,16644
F10547#F1438,1034,1151633,1152669,23,56,16644
F10463#F1438,959,1187601,1188563,27,57,16644
F10020#F1438,916,1181545,1182464,13,58,16644
F10541#F1438,964,1182310,1183277,18,59,16644
F10032#F1438,979,1166852,1167834,25,60,16644
F10178#F1438,963,1083201,1084167,21,61,16644
F10121#F1438,997,1078179,1079180,22,62,16644
F10305#F1438,987,1094489,1095479,26,63,16644
F10033#F1438,1005,1859981,1860989,25,64,16644
F10143#F1438,1050,1230150,1231202,26,65,16644
F10141#F1438,1040,1179905,1180947,28,66,16644
F10961#F1438,1065,1158023,1159091,27,67,16644
F10873#F1438,1061,1196149,1197213,29,68,16644
F10317#F1438,1121,1147996,1149119,27,69,16644
