keyword,clientTime,serverTime,totalTime,resultLength,w1,w2
F10031#F1438,25.0,1125056.0,1125081.0,1,1,16644
F1021#F1438,50.0,1135658.5,1135708.5,2,2,16644
F10467#F1438,57.0,1146261.0,1146318.0,3,3,16644
F11486#F1438,76.0,1158560.0,1158636.0,4,4,16644
F10068#F1438,80.0,1098236.0,1098316.0,4,5,16644
F10259#F1438,96.0,1057802.0,1057898.0,4,6,16644
F12293#F1438,112.0,1048107.0,1048219.0,7,7,16644
F10311#F1438,134.0,1051967.0,1052101.0,7,8,16644
F13312#F1438,153.0,1057127.0,1057280.0,7,9,16644
F10800#F1438,174.0,1118095.0,1118269.0,7,10,16644
F1308#F1438,198.0,1116476.0,1116674.0,7,11,16644
F10693#F1438,205.0,1107379.0,1107584.0,9,12,16644
F11138#F1438,214.0,1121435.0,1121649.0,7,13,16644
F10159#F1438,230.46153846153845,1207699.2307692308,1207929.6923076923,10,14,16644
F11380#F1438,246.9230769230769,1394506.0,1394752.923076923,10,15,16644
F1047#F1438,265.0,1107274.0,1107539.0,9,16,16644
F10072#F1438,280.0,1152893.0,1153173.0,10,17,16644
F10516#F1438,301.0,1105567.0,1105868.0,11,18,16644
F10454#F1438,310.0,1058019.0,1058329.0,14,19,16644
F14280#F1438,326.0,1036913.0,1037239.0,16,20,16644
F10544#F1438,342.3,1047361.0,1047703.3,10,21,16644
F10744#F1438,360.0,1043544.0,1043904.0,15,22,16644
F10374#F1438,366.0,1096999.0,1097365.0,11,23,16644
F1029#F1438,381.0,1084854.0,1085235.0,11,24,16644
F12029#F1438,417.0,1090965.0,1091382.0,14,25,16644
F10595#F1438,446.0,1273596.0,1274042.0,15,26,16644
F10700#F1438,463.1538461538462,1322580.4615384617,1323043.6153846155,11,27,16644
F10165#F1438,471.0,1107560.0,1108031.0,19,28,16644
F10922#F1438,441.0,1089614.0,1090055.0,19,29,16644
F10398#F1438,473.0,1104118.0,1104591.0,19,30,16644
F10802#F1438,471.0,1056523.0,1056994.0,13,31,16644
F10166#F1438,500.0,997271.0,997771.0,16,32,16644
F13268#F1438,509.0,1001166.0,1001675.0,17,33,16644
