keyword,clientTime,serverTime,totalTime,resultLength,w1,w2
F10031#F1438,25,1125056,1125084,1,1,16644
F1021#F1438,40,1670402,1670445,2,2,16644
F10467#F1438,57,1146261,1146320,3,3,16644
F11486#F1438,74,1158560,1158636,4,4,16644
F10068#F1438,80,1098236,1098318,4,5,16644
F10259#F1438,104,1057802,1057908,4,6,16644
F12293#F1438,124,1048107,1048234,7,7,16644
F10311#F1438,134,1051967,1052103,7,8,16644
F13312#F1438,153,1057127,1057283,7,9,16644
F10800#F1438,174,1118095,1118271,7,10,16644
F1308#F1438,198,1116476,1116676,7,11,16644
F10693#F1438,205,1107379,1107586,9,12,16644
F11138#F1438,214,1121435,1121652,7,13,16644
F10159#F1438,260,1478753,1479016,10,14,16644
F11380#F1438,419,1394506,1394929,10,15,16644
F1047#F1438,265,1107274,1107541,9,16,16644
F10072#F1438,280,1152893,1153175,10,17,16644
F10516#F1438,301,1105567,1105870,11,18,16644
F10454#F1438,310,1058019,1058331,14,19,16644
F14280#F1438,326,1036913,1037241,16,20,16644
F10544#F1438,523,1047361,1047887,10,21,16644
F10744#F1438,360,1043544,1043906,15,22,16644
F10374#F1438,366,1096999,1097367,11,23,16644
F1029#F1438,381,1084854,1085236,11,24,16644
F12029#F1438,417,1090965,1091384,14,25,16644
F10595#F1438,446,1273596,1274045,15,26,16644
F10700#F1438,740,1574515,1575258,11,27,16644
F10165#F1438,471,1107560,1108034,19,28,16644
F10922#F1438,441,1089614,1090058,19,29,16644
F10398#F1438,473,1104118,1104593,19,30,16644
F10802#F1438,471,1056523,1056996,13,31,16644
F10166#F1438,500,997271,997773,16,32,16644
F13268#F1438,509,1001166,1001677,17,33,16644
F10043#F1438,515,1002085,1002602,17,34,16644
F11321#F1438,540,1036623,1037166,13,35,16644
F10115#F1438,588,1090858,1091449,20,36,16644
F11053#F1438,580,1087415,1087997,16,37,16644
F11114#F1438,620,1133729,1134352,21,38,16644
F10237#F1438,944,1618927,1619874,13,39,16644
F10942#F1438,649,1168375,1169026,22,40,16644
F10450#F1438,662,1127149,1127813,19,41,16644
F11220#F1438,684,1131368,1132054,18,42,16644
F10055#F1438,681,1153580,1154263,22,43,16644
F10494#F1438,723,1098276,1099001,26,44,16644
F10158#F1438,717,1051157,1051876,18,45,16644
F10205#F1438,738,1047371,1048111,24,46,16644
F10813#F1438,778,1047137,1047918,26,47,16644
F10081#F1438,783,1048403,1049188,25,48,16644
F10014#F1438,792,1100535,1101330,18,49,16644
F10136#F1438,800,1083357,1084159,23,50,16644
F11604#F1438,859,1627081,1627942,22,51,16644
F10195#F1438,844,1130497,1131343,20,52,16644
F10355#F1438,834,1101344,1102179,22,53,16644
F11076#F1438,799,1117101,1117903,19,54,16644
F10378#F1438,879,1130585,1131466,22,55,16644
F10547#F1438,915,1144983,1145901,23,56,16644
F10463#F1438,903,1105478,1106384,27,57,16644
F10020#F1438,925,1050940,1051868,13,58,16644
