keyword,clientTime,serverTime,totalTime,resultLength,w1,w2
F19998#F0,164,1270209,1270375,10,10,26946
F16238#F0,548,1208371,1208921,27,37,26946
F16235#F0,543,1206005,1206551,25,38,26946
F16214#F0,578,1235764,1236345,22,39,26946
F16208#F0,589,1620733,1621324,26,40,26946
F16184#F0,619,1282285,1282908,27,41,26946
F16130#F0,639,1223791,1224434,31,42,26946
F16090#F0,627,1248426,1249055,30,43,26946
F16023#F0,661,1266325,1266988,30,44,26946
F15924#F0,713,1250670,1251387,32,45,26946
F15885#F0,725,1535798,1536527,30,46,26946
F15849#F0,691,1194392,1195086,31,47,26946
F15747#F0,682,1166719,1167404,39,48,26946
F15700#F0,716,1170009,1170728,35,49,26946
F15569#F0,735,1167941,1168679,30,50,26946
F15547#F0,732,1205002,1205736,33,51,26946
F15477#F0,790,1630078,1630871,35,52,26946
F15415#F0,843,1257042,1257888,32,53,26946
F15343#F0,812,1232805,1233619,31,54,26946
F15199#F0,791,1252468,1253261,34,55,26946
F15114#F0,840,1212934,1213776,39,56,26946
F15029#F0,817,1214789,1215610,37,57,26946
F15003#F0,876,1461950,1462830,38,58,26946
F14877#F0,1413,1297343,1298759,35,59,26946
F14805#F0,880,1214047,1214929,36,60,26946
F14736#F0,860,1172494,1173357,41,61,26946
F14645#F0,864,1220501,1221369,33,62,26946
F14621#F0,925,1225882,1226810,38,63,26946
F14498#F0,955,1356429,1357388,44,64,26946
F14396#F0,1538,1462332,1463875,33,65,26946
F14377#F0,1004,1248781,1249788,35,66,26946
F14270#F0,1013,1229697,1230713,38,67,26946
F14173#F0,975,1254349,1255327,52,68,26946
F14061#F0,1132,1246024,1247159,45,69,26946
F13990#F0,1051,1229994,1231047,35,70,26946
F13973#F0,1062,1555829,1556894,36,71,26946
F13834#F0,1167,1235675,1236846,52,72,26946
F13757#F0,1092,1270184,1271279,33,73,26946
F13740#F0,1097,1194096,1195196,48,74,26946
F13640#F0,1110,1188738,1189851,53,75,26946
F13574#F0,1114,1224583,1225699,54,76,26946
F13494#F0,1156,1587565,1588724,51,77,26946
F13434#F0,1164,1277725,1278892,40,78,26946
F13361#F0,1198,1230671,1231873,45,79,26946
F13313#F0,1204,1254822,1256028,44,80,26946
F13182#F0,1213,1241502,1242717,44,81,26946
F13093#F0,1166,1242757,1243926,45,82,26946
F13082#F0,1223,1521219,1522444,40,83,26946
F13005#F0,1237,1222114,1223354,47,84,26946
F12930#F0,1218,1153250,1154471,44,85,26946
F12893#F0,1204,1177537,1178743,50,86,26946
F12810#F0,1239,1300930,1302173,47,87,26946
F12745#F0,1336,1210421,1211760,57,88,26946
F12626#F0,1258,1534694,1535955,42,89,26946
F12547#F0,1322,1184271,1185596,55,90,26946
F12523#F0,1357,1229172,1230532,57,91,26946
F12401#F0,1376,1218205,1219584,56,92,26946
F12337#F0,1421,1240748,1242172,62,93,26946
F12284#F0,1412,1238056,1239470,56,94,26946
F12231#F0,1357,1505391,1506751,48,95,26946
F12103#F0,1389,1218284,1219674,54,96,26946
F12020#F0,1382,1230395,1231780,53,97,26946
F11994#F0,1465,1267825,1269293,65,98,26946
F11907#F0,1474,1234964,1236440,60,99,26946
F11843#F0,1477,1195011,1196491,53,100,26946
F11784#F0,1414,1583760,1585176,55,101,26946
F11768#F0,1532,1224845,1226380,65,102,26946
F11701#F0,1498,1176367,1177868,60,103,26946
F11646#F0,1516,1182564,1184084,53,104,26946
F11583#F0,1515,1150914,1152432,67,105,26946
F11512#F0,1536,1144628,1146167,63,106,26946
F11426#F0,1582,1553477,1555061,64,107,26946
F11379#F0,2536,1247728,1250267,48,108,26946
F11334#F0,1600,1169698,1171301,77,109,26946
F11220#F0,1570,1185738,1187311,32,110,26946
F11134#F0,1560,1172535,1174097,40,111,26946
F11048#F0,1572,1138943,1140519,60,112,26946
F11011#F0,1625,1479740,1481370,49,113,26946
F10940#F0,2589,1341998,1344591,80,114,26946
F10916#F0,1744,1258095,1259842,69,115,26946
F10815#F0,1756,1260899,1262657,66,116,26946
F10780#F0,1821,1270097,1271922,55,117,26946
F10738#F0,1777,1209270,1211050,67,118,26946
F10630#F0,1828,1537686,1539517,63,119,26946
F10622#F0,2806,1296566,1299376,68,120,26946
F10552#F0,1818,1221933,1223753,49,121,26946
F10454#F0,1785,1207044,1208832,50,122,26946
F10413#F0,1807,1242994,1244803,59,123,26946
F10362#F0,1854,1191890,1193746,62,124,26946
F10306#F0,1895,1493178,1495076,74,125,26946
F10226#F0,2939,1335153,1338096,68,126,26946
F10177#F0,1870,1234477,1236350,59,127,26946
F10108#F0,1857,1216491,1218350,41,128,26946
F10044#F0,1874,1231357,1233233,60,129,26946
F10035#F0,1981,1201983,1203966,66,130,26946
F9978#F0,1975,1543557,1545535,73,131,26946
F9916#F0,3116,1327565,1330686,76,132,26946
F9872#F0,1953,1198841,1200796,66,133,26946
F9779#F0,1920,1176010,1177933,72,134,26946
F9774#F0,1919,1187138,1189060,67,135,26946
F9692#F0,2073,1184347,1186423,58,136,26946
F9644#F0,2031,1519620,1521654,74,137,26946
F9570#F0,3212,1259033,1262250,38,138,26946
F9522#F0,2035,1177589,1179625,63,139,26946
F9501#F0,2084,1155188,1157275,73,140,26946
F9411#F0,2078,1179386,1181466,63,141,26946
F9379#F0,2085,1182884,1184972,71,142,26946
F9330#F0,2111,1401908,1404022,84,143,26946
F9283#F0,3452,1357590,1361047,76,144,26946
F9252#F0,2182,1236455,1238640,62,145,26946
F9204#F0,2121,1214056,1216180,76,146,26946
F9126#F0,2086,1208016,1210104,80,147,26946
F9093#F0,2110,1237922,1240035,75,148,26946
F9029#F0,2191,1390893,1393086,82,149,26946
F8952#F0,3665,1390467,1394137,76,150,26946
F8913#F0,2286,1236651,1238941,78,151,26946
F8877#F0,2270,1203886,1206158,81,152,26946
F8831#F0,2214,1216831,1219048,68,153,26946
F8798#F0,2309,1229457,1231769,86,154,26946
F8754#F0,2315,1420933,1423251,56,155,26946
F8716#F0,3748,1378784,1382538,70,156,26946
F8648#F0,2401,1242185,1244589,78,157,26946
F8637#F0,2396,1208906,1211304,69,158,26946
F8593#F0,2317,1210506,1212825,87,159,26946
F8536#F0,2402,1209552,1211956,86,160,26946
F8501#F0,2470,1405881,1408354,39,161,26946
F8435#F0,3878,1376350,1380232,92,162,26946
F8407#F0,2533,1214116,1216651,89,163,26946
F8312#F0,2429,1228371,1230802,65,164,26946
F8251#F0,2515,1216742,1219259,86,165,26946
F8226#F0,2484,1222110,1224597,82,166,26946
F8185#F0,2419,1391128,1393550,54,167,26946
F8157#F0,8328,1379420,1387752,79,168,26946
F8081#F0,2690,1224719,1227411,84,169,26946
F8066#F0,2570,1228092,1230664,70,170,26946
F8026#F0,2578,1241881,1244462,52,171,26946
F7966#F0,2489,1215862,1218355,88,172,26946
F7911#F0,2544,1222737,1225283,89,173,26946
F7888#F0,4212,1553131,1557347,91,174,26946
F7847#F0,2655,1187449,1190108,83,175,26946
F7811#F0,2735,1210876,1213613,65,176,26946
F7747#F0,2671,1234157,1236830,78,177,26946
F7737#F0,2694,1243769,1246465,89,178,26946
F7681#F0,2581,1192804,1195388,102,179,26946
F7667#F0,2587,1549564,1552153,89,180,26946
F7595#F0,2673,1211759,1214435,102,181,26946
F7556#F0,2811,1196812,1199626,96,182,26946
F7515#F0,2807,1233428,1236237,85,183,26946
F7474#F0,2686,1212809,1215498,94,184,26946
F7446#F0,2699,1206114,1208815,91,185,26946
F7393#F0,2696,1565664,1568362,70,186,26946
F7352#F0,2903,1259255,1262161,99,187,26946
F7344#F0,2738,1207248,1209989,79,188,26946
F7302#F0,2854,1208992,1211849,94,189,26946
F7261#F0,2764,1223291,1226059,105,190,26946
F7230#F0,2803,1208992,1211797,82,191,26946
F7189#F0,2815,1570655,1573473,83,192,26946
F7172#F0,2898,1200762,1203663,105,193,26946
F7136#F0,3046,1222856,1225904,83,194,26946
F7074#F0,2937,1188249,1191188,79,195,26946
F7021#F0,2952,1196712,1199666,104,196,26946
F7007#F0,2936,1218207,1221145,95,197,26946
F6947#F0,2958,1541983,1544943,89,198,26946
F6930#F0,2979,1228877,1231858,100,199,26946
F6882#F0,3140,1211097,1214240,82,200,26946
F6853#F0,3009,1234697,1237709,92,201,26946
F6826#F0,3027,1181524,1184553,103,202,26946
F6766#F0,3016,1213252,1216270,89,203,26946
F6717#F0,3115,1608082,1611199,87,204,26946
F6701#F0,2982,1255019,1258004,88,205,26946
F6657#F0,3416,1224044,1227462,99,206,26946
F6623#F0,3102,1258688,1261792,92,207,26946
F6588#F0,3085,1210195,1213282,90,208,26946
F6550#F0,3080,1189849,1192932,95,209,26946
F6510#F0,3161,1566718,1569882,47,210,26946
F6480#F0,5038,1223206,1228248,91,211,26946
F6449#F0,3115,1182035,1185152,73,212,26946
F6415#F0,3405,1146649,1150057,115,213,26946
F6398#F0,3076,1204868,1207946,92,214,26946
F6355#F0,3155,1138907,1142064,89,215,26946
F6330#F0,3156,1390369,1393528,80,216,26946
F6276#F0,5408,1355337,1360750,110,217,26946
F6256#F0,3155,1183850,1187009,102,218,26946
F6231#F0,3103,1177004,1180109,95,219,26946
F6210#F0,3315,1200954,1204271,94,220,26946
F6176#F0,3264,1160475,1163742,84,221,26946
F6158#F0,3258,1375515,1378775,99,222,26946
F6106#F0,5534,1358290,1363829,117,223,26946
F6070#F0,3254,1158300,1161557,95,224,26946
F6064#F0,3319,1169508,1172829,111,225,26946
F6019#F0,3189,1176522,1179713,96,226,26946
F5972#F0,3408,1184045,1187456,102,227,26946
F5940#F0,3384,1344593,1347979,114,228,26946
F5923#F0,5620,1367239,1372863,108,229,26946
F5908#F0,3347,1153375,1156724,117,230,26946
F5876#F0,3331,1169676,1173010,104,231,26946
F5857#F0,3356,1159322,1162681,105,232,26946
F5835#F0,3573,1203478,1207053,93,233,26946
F5783#F0,3528,1369572,1373103,105,234,26946
F5774#F0,9817,1357391,1367213,110,235,26946
F5736#F0,3361,1165710,1169073,72,236,26946
F5706#F0,3326,1181459,1184788,73,237,26946
F5679#F0,3421,1164134,1167557,144,238,26946
F5642#F0,3457,1192011,1195472,123,239,26946
F5615#F0,3598,1370915,1374515,112,240,26946
F5600#F0,5777,1400254,1406037,118,241,26946
F5583#F0,3753,1293184,1296939,103,242,26946
F5565#F0,3515,1157751,1161269,119,243,26946
F5538#F0,3509,1180878,1184389,114,244,26946
F5503#F0,3597,1172100,1175700,116,245,26946
F5485#F0,3871,1266541,1270415,106,246,26946
F5473#F0,5943,1448857,1454804,105,247,26946
F5444#F0,3718,1181468,1185189,122,248,26946
F5401#F0,3628,1161638,1165269,121,249,26946
F5391#F0,3634,1174897,1178533,117,250,26946
F5362#F0,3655,1167765,1171423,120,251,26946
F5349#F0,3767,1223218,1226989,94,252,26946
F5321#F0,6151,1507470,1513625,125,253,26946
F5285#F0,3685,1163862,1167549,98,254,26946
F5269#F0,3655,1183155,1186813,117,255,26946
F5254#F0,3597,1154278,1157877,101,256,26946
F5230#F0,3727,1179881,1183610,115,257,26946
F5200#F0,3688,1154492,1158183,103,258,26946
F5183#F0,3782,1537167,1540950,117,259,26946
F5164#F0,3674,1148476,1152152,86,260,26946
F5149#F0,3723,1174474,1178199,129,261,26946
F5112#F0,3730,1260742,1264474,116,262,26946
F5095#F0,3814,1180949,1184766,115,263,26946
F5086#F0,3753,1172424,1176179,100,264,26946
F5050#F0,3876,1513509,1517386,116,265,26946
F5029#F0,3976,1191996,1195974,130,266,26946
F5010#F0,3852,1148050,1151905,68,267,26946
F4998#F0,3860,1232761,1236624,129,268,26946
F4985#F0,3949,1191405,1195356,125,269,26946
F4954#F0,4071,1222436,1226509,111,270,26946
F4920#F0,4078,1535612,1539692,127,271,26946
F4917#F0,4075,1224534,1228611,124,272,26946
F4872#F0,4055,1219510,1223567,150,273,26946
F4867#F0,4004,1199322,1203329,130,274,26946
F4842#F0,4007,1227406,1231415,102,275,26946
F4822#F0,4068,1200846,1204916,111,276,26946
F4798#F0,4113,1576643,1580758,131,277,26946
F4775#F0,4145,1243916,1248063,91,278,26946
F4759#F0,4177,1228248,1232428,89,279,26946
F4739#F0,4097,1207705,1211805,127,280,26946
F4709#F0,4299,1202884,1207185,102,281,26946
F4684#F0,4141,1236574,1240717,118,282,26946
F4670#F0,4200,1607096,1611298,105,283,26946
F4656#F0,4880,1270872,1275755,132,284,26946
F4634#F0,4212,1232736,1236951,114,285,26946
F4628#F0,4225,1239774,1244002,107,286,26946
F4614#F0,4185,1202289,1206476,125,287,26946
F4578#F0,4149,1242008,1246160,108,288,26946
F4561#F0,4274,1580392,1584669,130,289,26946
F4545#F0,7240,1240368,1247612,85,290,26946
F4536#F0,4340,1214653,1218995,113,291,26946
F4524#F0,4300,1249221,1253524,109,292,26946
F4510#F0,4371,1242786,1247160,131,293,26946
F4479#F0,4291,1279659,1283952,109,294,26946
F4450#F0,4390,1607821,1612214,122,295,26946
F4436#F0,7163,1290831,1297999,98,296,26946
F4426#F0,4473,1262471,1266946,124,297,26946
F4397#F0,4532,1307605,1312140,133,298,26946
F4392#F0,4610,1225081,1229693,119,299,26946
F4368#F0,4353,1151939,1156294,140,300,26946
F4345#F0,4380,1529711,1534094,105,301,26946
F4337#F0,8391,1242448,1250844,130,302,26946
F4317#F0,4350,1183823,1188175,147,303,26946
F4310#F0,4462,1180072,1184536,132,304,26946
F4289#F0,4421,1156914,1161338,139,305,26946
F4261#F0,4492,1160466,1164961,127,306,26946
F4243#F0,4671,1531865,1536539,138,307,26946
F4221#F0,7507,1243347,1250860,130,308,26946
F4200#F0,4522,1176095,1180620,129,309,26946
F4175#F0,4461,1185318,1189781,116,310,26946
F4167#F0,4829,1192277,1197109,110,311,26946
F4148#F0,4891,1170819,1175712,129,312,26946
F4125#F0,4673,1529433,1534109,131,313,26946
F4104#F0,7665,1242496,1250166,113,314,26946
F4094#F0,4562,1179682,1184247,127,315,26946
F4075#F0,4511,1169087,1173600,120,316,26946
F4062#F0,4502,1240723,1245227,129,317,26946
F4046#F0,5113,1257834,1262950,133,318,26946
F4023#F0,5039,1510960,1516003,99,319,26946
F4016#F0,16818,1320735,1337558,114,320,26946
F3990#F0,4705,1220665,1225373,135,321,26946
F3978#F0,4702,1211389,1216094,108,322,26946
F3960#F0,4858,1239018,1243878,118,323,26946
F3940#F0,4985,1200953,1205940,128,324,26946
F3925#F0,4975,1533303,1538282,144,325,26946
F3909#F0,9629,1290392,1300028,134,326,26946
F3897#F0,4975,1216359,1221337,138,327,26946
F3878#F0,4779,1211784,1216567,133,328,26946
F3877#F0,4966,1246805,1251773,156,329,26946
F3856#F0,4894,1249343,1254239,121,330,26946
F3840#F0,5117,1550585,1555705,152,331,26946
F3829#F0,8128,1277970,1286102,158,332,26946
F3824#F0,4944,1157095,1162041,121,333,26946
F3799#F0,4909,1205947,1210859,134,334,26946
F3790#F0,4837,1229569,1234409,151,335,26946
F3770#F0,4971,1239810,1244784,146,336,26946
F3748#F0,5448,1502882,1508333,108,337,26946
F3742#F0,8023,1400902,1408929,112,338,26946
F3729#F0,5260,1258429,1263692,152,339,26946
F3702#F0,5132,1251382,1256518,162,340,26946
F3688#F0,5138,1255646,1260787,125,341,26946
F3680#F0,4997,1269682,1274682,145,342,26946
F3654#F0,5114,1544976,1550094,143,343,26946
F3643#F0,8171,1343290,1351466,140,344,26946
F3631#F0,5640,1234871,1240513,155,345,26946
F3620#F0,5285,1240113,1245401,145,346,26946
F3604#F0,5451,1227967,1233421,145,347,26946
F3589#F0,5127,1248142,1253271,162,348,26946
F3582#F0,5130,1450829,1455962,127,349,26946
F3566#F0,8384,1348878,1357269,110,350,26946
F3546#F0,5322,1230403,1235727,134,351,26946
F3533#F0,5354,1207785,1213141,133,352,26946
F3518#F0,5460,1202681,1208143,150,353,26946
F3513#F0,5347,1226127,1231476,133,354,26946
F3499#F0,5315,1434343,1439661,146,355,26946
F3483#F0,8651,1392871,1401528,147,356,26946
F3478#F0,5324,1231397,1236724,108,357,26946
F3460#F0,5328,1206895,1212226,171,358,26946
F3448#F0,5453,1212749,1218205,155,359,26946
F3428#F0,5568,1219097,1224668,149,360,26946
F3411#F0,5549,1495426,1500978,131,361,26946
F3398#F0,8644,1300679,1309327,146,362,26946
F3391#F0,5542,1237309,1242854,132,363,26946
F3374#F0,5352,1199330,1204684,157,364,26946
F3361#F0,5831,1219943,1225777,150,365,26946
F3353#F0,5726,1219526,1225255,160,366,26946
F3334#F0,5631,1430555,1436189,142,367,26946
F3322#F0,8804,1346517,1355325,180,368,26946
F3318#F0,5647,1229167,1234816,147,369,26946
F3297#F0,5674,1217684,1223360,139,370,26946
F3292#F0,5612,1213049,1218663,105,371,26946
F3281#F0,5479,1215655,1221136,117,372,26946
F3271#F0,5713,1421837,1427553,154,373,26946
F3252#F0,9616,1394561,1404181,154,374,26946
F3238#F0,5804,1221134,1226941,160,375,26946
F3231#F0,5740,1242809,1248552,138,376,26946
F3225#F0,5623,1212154,1217780,167,377,26946
F3197#F0,5700,1229459,1235162,147,378,26946
F3189#F0,5922,1365050,1370975,145,379,26946
F3178#F0,9728,1453851,1463584,156,380,26946
F3161#F0,5748,1201223,1206973,138,381,26946
F3155#F0,5716,1227070,1232788,145,382,26946
F3145#F0,5674,1218812,1224489,133,383,26946
F3141#F0,5739,1226376,1232117,151,384,26946
F3122#F0,5821,1372036,1377860,131,385,26946
F3117#F0,9372,1436781,1446158,169,386,26946
F3104#F0,5884,1227393,1233280,125,387,26946
F3102#F0,5727,1228730,1234459,184,388,26946
F3092#F0,5606,1226354,1231963,156,389,26946
F3076#F0,5641,1207091,1212735,148,390,26946
F3071#F0,6084,1353983,1360071,107,391,26946
F3055#F0,10493,1426810,1437308,131,392,26946
F3038#F0,5930,1234224,1240156,130,393,26946
F3032#F0,5877,1197440,1203320,168,394,26946
F3018#F0,5966,1249901,1255870,142,395,26946
F3010#F0,5824,1209949,1215775,111,396,26946
F3001#F0,5925,1302326,1308254,163,397,26946
F2998#F0,9802,1428640,1438447,118,398,26946
F2985#F0,6040,1259026,1265069,149,399,26946
F2980#F0,6637,1199680,1206321,149,400,26946
F2961#F0,5917,1225259,1231178,148,401,26946
F2949#F0,6054,1227023,1233079,157,402,26946
F2945#F0,6168,1211203,1217374,170,403,26946
F2924#F0,6156,1571029,1577189,147,404,26946
F2912#F0,6123,1233101,1239228,128,405,26946
F2901#F0,6141,1227187,1233332,127,406,26946
F2895#F0,6014,1210858,1216875,170,407,26946
F2886#F0,5962,1235917,1241881,136,408,26946
F2871#F0,5961,1235960,1241923,131,409,26946
F2862#F0,6414,1558464,1564880,137,410,26946
F2851#F0,6202,1256420,1262625,132,411,26946
F2837#F0,6167,1273777,1279947,172,412,26946
F2836#F0,6304,1287977,1294284,166,413,26946
F2808#F0,6246,1252199,1258448,149,414,26946
F2794#F0,6297,1288523,1294822,155,415,26946
F2783#F0,6674,1555629,1562305,151,416,26946
F2770#F0,6549,1215382,1221934,163,417,26946
F2763#F0,6153,1162912,1169068,121,418,26946
F2749#F0,5980,1186415,1192397,150,419,26946
F2744#F0,6175,1184815,1190991,79,420,26946
F2736#F0,6108,1204687,1210797,151,421,26946
F2731#F0,6459,1626712,1633173,197,422,26946
F2725#F0,6308,1231646,1237957,163,423,26946
F2719#F0,6281,1241773,1248058,153,424,26946
F2704#F0,6074,1231286,1237363,159,425,26946
F2696#F0,6257,1253449,1259708,142,426,26946
F2681#F0,6367,1200688,1207057,161,427,26946
F2680#F0,6393,1643034,1649430,153,428,26946
F2671#F0,7549,1268548,1276102,142,429,26946
