keyword,clientTime,serverTime,totalTime,resultLength,w1,w2
F19998#F0,181.0,1188733.0,1188914.0,10,10,26946
F16238#F0,669.7,1158047.0,1158716.7,27,37,26946
F16235#F0,606.0,1130109.0,1130715.0,25,38,26946
F16214#F0,630.0,1128851.0,1129481.0,22,39,26946
F16208#F0,658.0,1148934.0,1149592.0,26,40,26946
F16184#F0,655.0,1190826.0,1191481.0,27,41,26946
F16130#F0,703.0,1219870.536585366,1220573.536585366,31,42,26946
F16090#F0,712.0,1155163.0,1155875.0,30,43,26946
F16023#F0,725.0,1155662.0,1156387.0,30,44,26946
F15924#F0,747.0,1160114.0,1160861.0,32,45,26946
F15885#F0,763.0,1169506.0,1170269.0,30,46,26946
F15849#F0,792.0,1179239.0,1180031.0,31,47,26946
F15747#F0,832.0,1204329.1914893617,1205161.1914893617,39,48,26946
F15700#F0,831.0,1187035.0,1187866.0,35,49,26946
F15569#F0,771.0,1104413.0,1105184.0,30,50,26946
F15547#F0,793.0,1109806.0,1110599.0,33,51,26946
F15477#F0,853.0,1113550.0,1114403.0,35,52,26946
F15415#F0,864.0,1126957.0,1127821.0,32,53,26946
F15343#F0,903.0,1148220.3396226414,1149123.3396226414,31,54,26946
F15199#F0,919.7222222222223,1253822.0,1254741.7222222222,34,55,26946
F15114#F0,890.0,1125639.0,1126529.0,39,56,26946
F15029#F0,901.0,1113011.0,1113912.0,37,57,26946
F15003#F0,911.0,1115419.0,1116330.0,38,58,26946
F14877#F0,916.0,1114204.0,1115120.0,35,59,26946
F14805#F0,958.0,1225643.0,1226601.0,36,60,26946
F14736#F0,973.9666666666666,1386095.0,1387068.9666666666,41,61,26946
F14645#F0,1068.0,1186035.0,1187103.0,33,62,26946
F14621#F0,1033.0,1158903.0,1159936.0,38,63,26946
F14498#F0,1037.0,1160535.0,1161572.0,44,64,26946
F14396#F0,1059.0,1172206.0,1173265.0,33,65,26946
F14377#F0,1092.0,1250162.0,1251254.0,35,66,26946
F14270#F0,1108.5454545454545,1393631.0,1394739.5454545454,38,67,26946
F14173#F0,1141.0,1199961.0,1201102.0,52,68,26946
F14061#F0,1103.0,1139390.0,1140493.0,45,69,26946
F13990#F0,1086.0,1157914.0,1159000.0,35,70,26946
F13973#F0,1157.0,1162045.0,1163202.0,36,71,26946
F13834#F0,1231.0,1221884.0,1223115.0,52,72,26946
F13757#F0,1248.0972222222222,1435726.0,1436974.0972222222,33,73,26946
F13740#F0,1267.0,1198612.0,1199879.0,48,74,26946
F13640#F0,1213.0,1127383.0,1128596.0,53,75,26946
F13574#F0,1187.0,1163154.0,1164341.0,54,76,26946
F13494#F0,1275.0,1170757.0,1172032.0,51,77,26946
F13434#F0,1290.0,1206992.0,1208282.0,40,78,26946
F13361#F0,1306.5384615384614,1410079.0,1411385.5384615385,45,79,26946
F13313#F0,1334.0,1192335.0,1193669.0,44,80,26946
F13182#F0,1356.0,1190064.0,1191420.0,44,81,26946
F13093#F0,1312.0,1167236.0,1168548.0,45,82,26946
F13082#F0,1353.0,1160623.0,1161976.0,40,83,26946
F13005#F0,1355.0,1181233.0,1182588.0,47,84,26946
F12930#F0,1371.1309523809523,1381995.0,1383366.130952381,44,85,26946
F12893#F0,1391.0,1143298.0,1144689.0,50,86,26946
F12810#F0,1347.0,1141957.0,1143304.0,47,87,26946
F12745#F0,1374.0,1148111.0,1149485.0,57,88,26946
F12626#F0,1397.0,1160184.0,1161581.0,42,89,26946
F12547#F0,1456.0,1142366.0,1143822.0,55,90,26946
F12523#F0,1427.0,1155058.9555555554,1156485.9555555554,57,91,26946
F12401#F0,1602.0,1137011.0,1138613.0,56,92,26946
F12337#F0,1468.0,1167501.0,1168969.0,62,93,26946
F12284#F0,1542.0,1156223.0,1157765.0,56,94,26946
F12231#F0,1438.0,1134451.0,1135889.0,48,95,26946
F12103#F0,1495.0,1115802.0,1117297.0,54,96,26946
F12020#F0,1513.0,1127424.9375,1128937.9375,53,97,26946
F11994#F0,1644.0,1198995.0,1200639.0,65,98,26946
F11907#F0,1687.0,1182796.0,1184483.0,60,99,26946
F11843#F0,1628.0,1179936.0,1181564.0,53,100,26946
F11784#F0,1650.0,1199887.0,1201537.0,55,101,26946
F11768#F0,1691.0,1186502.0,1188193.0,65,102,26946
F11701#F0,1710.0,1414427.0,1416137.0,60,103,26946
F11646#F0,1726.6019417475727,1202925.0,1204651.6019417476,53,104,26946
F11583#F0,1656.0,1130127.0,1131783.0,67,105,26946
F11512#F0,1700.0,1138271.0,1139971.0,63,106,26946
F11426#F0,1684.0,1145392.0,1147076.0,64,107,26946
F11379#F0,1694.0,1140393.0,1142087.0,48,108,26946
F11334#F0,1770.0,1150952.1944444445,1152722.1944444445,77,109,26946
F11220#F0,1786.2385321100917,1241005.0,1242791.2385321101,32,110,26946
F11134#F0,1748.0,1172562.0,1174310.0,40,111,26946
F11048#F0,1879.0,1182592.0,1184471.0,60,112,26946
F11011#F0,1773.0,1182466.0,1184239.0,49,113,26946
F10940#F0,1907.0,1189049.0,1190956.0,80,114,26946
F10916#F0,1944.0,1386761.0,1388705.0,69,115,26946
