keyword,clientTime,serverTime,totalTime,resultLength,w1,w2
F6542#F8109,39.0,1197551.0,1197590.0,0,1,9738
F8396#F8109,78.0,1104882.0,1104960.0,1,2,9738
F8975#F8109,83.0,1031829.25,1031912.25,2,3,9738
F5981#F8109,96.0,986013.25,986109.25,4,4,9738
F7550#F8109,110.0,1232516.5625,1232626.5625,4,5,9738
F1014#F8109,114.0,1151776.2,1151890.2,2,6,9738
F6976#F8109,126.0,1108974.85,1109100.85,4,7,9738
F8581#F8109,136.0,1285532.6666666667,1285668.6666666667,3,8,9738
F4784#F8109,157.5,1179718.3125,1179875.8125,4,9,9738
F285#F8109,168.57142857142858,1155120.038961039,1155288.6103896103,3,10,9738
F9078#F8109,185.42857142857144,1168192.666666667,1168378.0952380956,7,11,9738
F931#F8109,204.00000000000003,1177008.3966942148,1177212.3966942148,6,12,9738
F9327#F8109,206.69999999999996,1199344.8999999997,1199551.5999999996,6,13,9738
F9803#F8109,236.72727272727272,1175772.1818181816,1176008.909090909,4,14,9738
F8361#F8109,247.49999999999997,1151588.7499999998,1151836.2499999998,5,15,9738
F6479#F8109,243.69230769230768,1170451.6923076925,1170695.3846153847,11,16,9738
F9786#F8109,281.71428571428567,1131086.5,1131368.2142857143,6,17,9738
F1812#F8109,282.0,1106398.8,1106680.8,7,18,9738
F1453#F8109,298.0625,1136645.3125,1136943.375,7,19,9738
F5044#F8109,321.1764705882353,1139721.1772853185,1140042.3537559067,6,20,9738
F7699#F8109,339.5,1117797.3333333335,1118136.8333333335,6,21,9738
F4127#F8109,343.89473684210526,1099686.210526316,1100030.105263158,7,22,9738
F4989#F8109,365.7000000000001,1093989.25,1094354.95,5,23,9738
F2777#F8109,386.2857142857143,1105664.0,1106050.2857142857,8,24,9738
F35#F8109,406.8181818181818,1133336.3636363635,1133743.1818181816,6,25,9738
F5631#F8109,423.0909090909091,1079636.4347826086,1080059.5256916995,10,26,9738
F6021#F8109,456.75000000000006,1146159.0000000005,1146615.7500000005,11,27,9738
F5385#F8109,532.3264746227709,1120765.4293552812,1121297.755829904,14,28,9738
F215#F8109,467.34615384615387,1148944.3076923075,1149411.6538461538,13,29,9738
F5570#F8109,498.88888888888897,1066955.5555555555,1067454.4444444445,13,30,9738
F6094#F8109,523.6785714285716,1065431.2500000002,1065954.9285714289,13,31,9738
F3769#F8109,498.7586206896552,1074761.931034483,1075260.6896551726,11,32,9738
F5287#F8109,547.8000000000001,1106583.5,1107131.3,6,33,9738
F5424#F8109,553.8709677419354,1055558.5161290322,1056112.387096774,13,34,9738
F3964#F8109,579.6874999999999,1236588.2812499998,1237167.9687499998,15,35,9738
F1813#F8109,640.3224489795917,1134332.4705882352,1134972.7930372148,15,36,9738
F7267#F8109,592.0,1146767.1176470583,1147359.1176470583,12,37,9738
F5517#F8109,591.7142857142857,1007340.9142857142,1007932.6285714285,15,38,9738
F9774#F8109,597.9999999999999,1026719.4166666666,1027317.4166666666,9,39,9738
F8700#F8109,625.9459459459459,1008086.4864864864,1008712.4324324323,15,40,9738
F3987#F8109,661.3947368421051,1090311.9210526312,1090973.3157894732,17,41,9738
F9914#F8109,678.4615384615383,1011336.3076923074,1012014.7692307689,14,42,9738
F9286#F8109,683.6999999999999,1173214.1372023807,1173897.8372023806,23,43,9738
