keyword,clientTime,serverTime,totalTime,resultLength,w1,w2
F6542#F8109,39.0,1197551.0,1197590.0,0,1,9738
F8396#F8109,48.0,1068948.5,1068996.5,1,2,9738
F8975#F8109,66.0,977670.0,977736.0,2,3,9738
F5981#F8109,76.0,955477.5,955553.5,4,4,9738
F7550#F8109,90.0,974426.0,974516.0,4,5,9738
F1014#F8109,102.0,964149.5,964251.5,2,6,9738
F6976#F8109,122.50000000000001,1141483.0,1141605.5,4,7,9738
F8581#F8109,134.85714285714286,1094502.857142857,1094637.714285714,3,8,9738
F4784#F8109,168.75,955794.0,955962.75,4,9,9738
F285#F8109,170.0,1150044.0,1150214.0,3,10,9738
F9078#F8109,174.9,1014830.3,1015005.2000000001,7,11,9738
F931#F8109,202.9090909090909,1007804.7272727272,1008007.6363636362,6,12,9738
F9327#F8109,214.49999999999997,998043.5833333333,998258.0833333333,6,13,9738
F9803#F8109,213.23076923076923,1024145.2307692308,1024358.4615384615,4,14,9738
F8361#F8109,248.57142857142856,998017.5,998266.0714285715,5,15,9738
F6479#F8109,250.66666666666666,983465.6,983716.2666666666,11,16,9738
F9786#F8109,266.6875,1016998.4375,1017265.125,6,17,9738
F1812#F8109,289.05882352941177,1165755.5,1166044.5588235294,7,18,9738
F1453#F8109,307.1666666666667,1011340.4444444445,1011647.6111111111,7,19,9738
F5044#F8109,312.6315789473684,999714.7368421052,1000027.3684210526,6,20,9738
F7699#F8109,333.90000000000003,998859.75,999193.65,6,21,9738
F4127#F8109,354.09523809523813,1013525.3333333334,1013879.4285714286,7,22,9738
F4989#F8109,374.27272727272725,1042669.4545454545,1043043.7272727272,5,23,9738
F2777#F8109,555.1304347826086,996587.4782608695,997142.6086956521,8,24,9738
F35#F8109,422.9166666666667,1061258.3333333335,1061681.2500000002,6,25,9738
F5631#F8109,561.0,1165651.0,1166212.0,10,26,9738
F6021#F8109,435.11538461538464,1069706.7692307692,1070141.8846153847,11,27,9738
F5385#F8109,465.6296296296296,995825.1851851852,996290.8148148148,14,28,9738
F215#F8109,489.89285714285717,996693.7500000001,997183.642857143,13,29,9738
F5570#F8109,467.58620689655174,1007589.3103448277,1008056.8965517243,13,30,9738
F6094#F8109,514.6,1039517.8333333335,1040032.4333333335,13,31,9738
F3769#F8109,521.2903225806451,993466.8387096773,993988.129032258,11,32,9738
F5287#F8109,546.5625,1165926.09375,1166472.65625,6,33,9738
F5424#F8109,684.5,1071314.0,1071998.5,13,34,9738
F3964#F8109,560.0,1084779.7058823528,1085339.7058823528,15,35,9738
F1813#F8109,560.5714285714286,954322.9714285714,954883.5428571429,15,36,9738
F7267#F8109,567.3333333333333,974067.1388888888,974634.4722222221,12,37,9738
F5517#F8109,594.6486486486486,957682.1621621621,958276.8108108108,15,38,9738
F9774#F8109,629.1315789473684,1037125.9736842106,1037755.105263158,9,39,9738
F8700#F8109,646.1538461538461,963177.4358974358,963823.5897435896,15,40,9738
F3987#F8109,651.9,1251737.1749999998,1252389.0749999997,17,41,9738
F9914#F8109,850.5,1116868.0975609757,1117718.5975609757,14,42,9738
F9286#F8109,842.5,1040123.0,1040965.5,23,43,9738
F5382#F8109,715.2558139534884,954878.7906976745,955594.046511628,18,44,9738
F6186#F8109,718.9772727272727,977625.0,978343.9772727273,18,45,9738
F5597#F8109,739.0666666666666,994285.911111111,995024.9777777777,17,46,9738
F3875#F8109,768.3478260869566,1016806.1739130436,1017574.5217391305,20,47,9738
F5577#F8109,773.1063829787233,981621.4468085106,982394.5531914893,13,48,9738
F3105#F8109,788.0833333333333,1274060.2291666665,1274848.3124999998,22,49,9738
F6035#F8109,818.3673469387755,1046961.224489796,1047779.5918367348,19,50,9738
F2790#F8109,839.46,1018698.5,1019537.96,16,51,9738
F5436#F8109,837.0980392156862,955874.1960784313,956711.294117647,21,52,9738
F3901#F8109,850.0384615384614,943312.3461538461,944162.3846153846,15,53,9738
F2506#F8109,836.4905660377358,949226.2641509434,950062.7547169811,14,54,9738
F3919#F8109,866.7592592592594,953585.925925926,954452.6851851852,21,55,9738
F8132#F8109,908.2181818181817,989817.309090909,990725.5272727271,21,56,9738
F9882#F8109,1162.0,1258394.0892857143,1259556.0892857143,19,57,9738
F748#F8109,947.3333333333334,1022044.4561403509,1022991.7894736843,14,58,9738
F7607#F8109,968.4137931034483,1115098.9827586205,1116067.396551724,16,59,9738
F1268#F8109,971.1864406779661,1009977.9661016949,1010949.1525423728,20,60,9738
F1717#F8109,997.3499999999999,965845.5333333333,966842.8833333333,17,61,9738
F6082#F8109,984.8852459016393,966548.4918032787,967533.3770491803,28,62,9738
F2782#F8109,1008.0,974689.2580645161,975697.2580645161,16,63,9738
F780#F8109,1050.4126984126983,1083665.2698412698,1084715.6825396826,19,64,9738
F3905#F8109,1285.5,1138550.15625,1139835.65625,26,65,9738
F1880#F8109,1008.276923076923,996084.1846153846,997092.4615384615,19,66,9738
F7721#F8109,1038.5,1073389.7424242424,1074428.2424242424,20,67,9738
F6747#F8109,1061.6119402985075,1014808.656716418,1015870.2686567164,23,68,9738
F1761#F8109,1082.6911764705883,965885.3382352941,966968.0294117647,24,69,9738
