Scheme,Component,SizePerEntry,Crime_Enron,Enron_Enron,Wiki_Wiki
FDXT,addr (CDBTSet key),32,400000,1280000,4800000
FDXT,val (CDBTSet value),32,400000,1280000,4800000
FDXT,alpha (PBC G1),128,1600000,5120000,19200000
FDXT,l (CDBXtag key),32,400000,1280000,4800000
FDXT,c (CDBXtag value),32,400000,1280000,4800000
FDXT,TOTAL,,3200000,10240000,38400000
ODXT,addr (CDBTSet key),32,400000,1280000,4800000
ODXT,val (CDBTSet value),32,400000,1280000,4800000
ODXT,alpha (PBC G1),128,1600000,5120000,19200000
ODXT,l (CDBXtag key),32,400000,1280000,4800000
ODXT,c (CDBXtag value),32,400000,1280000,4800000
ODXT,TOTAL,,3200000,10240000,38400000
SDSSE-CQ,addr (CDBTSet key),32,400000,1280000,4800000
SDSSE-CQ,val (CDBTSet value),32,400000,1280000,4800000
SDSSE-CQ,alpha (PBC G1),128,1600000,5120000,19200000
SDSSE-CQ,l (CDBXtag key),32,400000,1280000,4800000
SDSSE-CQ,c (CDBXtag value),32,400000,1280000,4800000
SDSSE-CQ,TOTAL,,3200000,10240000,38400000
Mitra,addr,32,400000,1280000,4800000
Mitra,val,32,400000,1280000,4800000
Mitra,TOTAL,,800000,2560000,9600000
Bestie,hash(L||D),64,800000,2560000,9600000
Bestie,ciphertext C,26,325000,1040000,3900000
Bestie,TOTAL,,1125000,3600000,13500000
