Scheme,Database,NumDocs,AvgKwPerDoc,TotalPairs,StorageBytes,StorageKB,StorageMB,RatioToFDXT,CurveType,AlphaType
FDXT,Crime_USENIX_REV,500,25,12500,1850000,1806.64,1.76,1.00,TypeA_standard,Zr
ODXT,Crime_USENIX_REV,500,25,12500,1850000,1806.64,1.76,1.00,TypeA_standard,Zr
SDSSE-CQ,Crime_USENIX_REV,500,25,12500,1850000,1806.64,1.76,1.00,TypeA_standard,Zr
Mitra,Crime_USENIX_REV,500,25,12500,800000,781.25,0.76,0.43,TypeA_standard,N/A
Bestie,Crime_USENIX_REV,500,25,12500,1125000,1098.63,1.07,0.61,TypeA_standard,N/A
FDXT,Enron_USENIX,2000,20,40000,5920000,5781.25,5.65,1.00,TypeA_standard,Zr
ODXT,Enron_USENIX,2000,20,40000,5920000,5781.25,5.65,1.00,TypeA_standard,Zr
SDSSE-CQ,Enron_USENIX,2000,20,40000,5920000,5781.25,5.65,1.00,TypeA_standard,Zr
Mitra,Enron_USENIX,2000,20,40000,2560000,2500.00,2.44,0.43,TypeA_standard,N/A
Bestie,Enron_USENIX,2000,20,40000,3600000,3515.62,3.43,0.61,TypeA_standard,N/A
FDXT,Wiki_USENIX,10000,15,150000,22200000,21679.69,21.17,1.00,TypeA_standard,Zr
ODXT,Wiki_USENIX,10000,15,150000,22200000,21679.69,21.17,1.00,TypeA_standard,Zr
SDSSE-CQ,Wiki_USENIX,10000,15,150000,22200000,21679.69,21.17,1.00,TypeA_standard,Zr
Mitra,Wiki_USENIX,10000,15,150000,9600000,9375.00,9.16,0.43,TypeA_standard,N/A
Bestie,Wiki_USENIX,10000,15,150000,13500000,13183.59,12.87,0.61,TypeA_standard,N/A
