Scheme,Database,NumDocs,AvgKwPerDoc,TotalPairs,StorageBytes,StorageKB,StorageMB,RatioToFDXT
FDXT,Crime_USENIX_REV,500,25,12500,1800000,1757.81,1.72,1.00
ODXT,Crime_USENIX_REV,500,25,12500,1800000,1757.81,1.72,1.00
SDSSE-CQ,Crime_USENIX_REV,500,25,12500,1800000,1757.81,1.72,1.00
Mitra,Crime_USENIX_REV,500,25,12500,800000,781.25,0.76,0.44
Bestie,Crime_USENIX_REV,500,25,12500,1125000,1098.63,1.07,0.62
FDXT,Enron_USENIX,2000,20,40000,5760000,5625.00,5.49,1.00
ODXT,Enron_USENIX,2000,20,40000,5760000,5625.00,5.49,1.00
SDSSE-CQ,Enron_USENIX,2000,20,40000,5760000,5625.00,5.49,1.00
Mitra,Enron_USENIX,2000,20,40000,2560000,2500.00,2.44,0.44
Bestie,Enron_USENIX,2000,20,40000,3600000,3515.62,3.43,0.62
FDXT,Wiki_USENIX,10000,15,150000,21600000,21093.75,20.60,1.00
ODXT,Wiki_USENIX,10000,15,150000,21600000,21093.75,20.60,1.00
SDSSE-CQ,Wiki_USENIX,10000,15,150000,21600000,21093.75,20.60,1.00
Mitra,Wiki_USENIX,10000,15,150000,9600000,9375.00,9.16,0.44
Bestie,Wiki_USENIX,10000,15,150000,13500000,13183.59,12.87,0.62
