keyword,volume,addTime
F0,1599,329378
F1,668,134587
F2,464,98799
F3,3,568
F4,241,45198
F5,223,41835
F6,138,31513
F7,110,23997
F8,400,79277
F9,23,4491
F10,388,82108
F11,142,27116
F12,104,19648
F13,568,114666
F14,108,21727
F15,541,105730
F16,740,150547
F17,589,124888
F18,118,23877
F19,217,43559
F20,203,45648
F21,20,3752
F22,477,88953
F23,4,758
F24,244,52197
F25,414,79481
F26,298,55956
F27,85,15873
F28,135,32552
F29,1086,218979
F30,12,2285
F31,128,24261
F32,786,155510
F33,328,61750
F34,395,81450
F35,25,4997
F36,467,91941
F37,230,45245
F38,644,136629
F39,4,821
F40,837,174718
F41,77,15218
F42,1013,209358
F43,215,42667
F44,146,36534
F45,153,30342
F46,86,16388
F47,114,21723
F48,3,571
F49,196,36918
F50,27,5068
F51,55,10364
F52,290,61464
F53,492,93388
F54,439,86199
F55,333,66431
F56,97,18618
F57,160,30491
F58,66,12461
F59,786,156161
F60,129,24645
F61,7,1332
F62,361,73002
F63,171,36382
F64,10,1972
F65,1464,292673
F66,436,90802
F67,382,75813
F68,292,57623
F69,1999,406749
F70,462,97306
F71,50,9827
F72,402,79543
F73,180,35541
F74,123,24204
F75,10,1969
F76,1780,360910
F77,208,40614
F78,310,69529
F79,1182,243724
F80,102,19630
F81,53,10295
F82,4,793
F83,133,25681
F84,53,10192
F85,451,88154
F86,834,169691
F87,165,32616
F88,8,1592
F89,57,11247
F90,146,39729
F91,464,93570
F92,1021,207219
F93,214,40878
F94,382,72362
F95,4,755
F96,347,75903
F97,844,165826
F98,360,73901
F99,2,411
F100,18,3605
F101,247,49485
F102,446,88430
F103,80,22224
F104,4,1230
F105,108,20668
F106,277,52742
F107,3,576
F108,765,153068
F109,112,22045
F110,4,759
F111,85,16280
F112,1877,370914
F113,581,121935
F114,2849,570395
F115,154,29387
F116,441,93312
F117,319,63559
F118,110,21722
F119,481,102249
F120,625,126719
F121,1366,275012
F122,1744,361873
F123,84,16328
F124,395,75636
F125,89,16907
F126,122,23110
F127,1155,234742
F128,1246,257821
F129,103,20620
F130,684,142413
F131,54,10499
F132,262,50631
F133,73,13952
F134,353,67672
F135,518,108848
F136,1177,239787
F137,478,100483
F138,242,49708
F139,1707,358795
F140,64,12918
F141,107,26152
F142,505,103665
F143,88,17087
F144,293,56676
F145,154,29918
F146,149,28942
F147,2423,487375
F148,1647,333313
F149,683,142445
F150,3,602
F151,1723,350414
F152,916,182428
F153,497,95915
F154,202,39135
F155,5,980
F156,607,117688
F157,224,53725
F158,2257,441468
F159,3,584
F160,92,17725
F161,213,41108
F162,210,48413
F163,630,126474
F164,264,52838
F165,301,60402
F166,183,36664
F167,1317,260390
F168,43,8261
F169,630,133966
F170,5,1013
F171,4,805
F172,1198,248696
F173,45,8800
F174,386,76997
F175,493,98599
F176,77,15475
F177,331,66691
F178,324,71666
F179,83,15876
F180,395,75701
F181,1919,377403
F182,256,49511
F183,13,2530
F184,1485,296139
F185,549,118089
F186,2692,535801
F187,572,121044
F188,69,13405
F189,13,2488
F190,11,2103
F191,48,9340
F192,3954,781079
F193,676,139629
F194,1499,299695
F195,308,62031
F196,927,188429
F197,286,65500
F198,884,170121
F199,308,59151
F200,295,57464
F201,119,25110
F202,142,34874
