updtw1,updtw2,storage
10,10,500
10,11,500
10,12,500
10,13,500
10,14,500
10,15,500
10,16,500
10,17,500
10,18,500
10,19,500
10,20,500
10,21,500
10,22,500
10,23,500
10,24,500
10,25,500
10,26,500
10,27,500
10,28,500
10,29,500
10,30,500
10,31,500
10,32,500
10,33,500
10,34,500
10,35,500
10,36,500
10,37,500
10,38,500
10,39,500
10,40,500
10,41,500
10,42,500
10,43,500
10,44,500
10,45,500
10,46,500
10,47,500
10,48,500
10,49,500
10,50,500
10,51,500
10,52,500
10,53,500
10,54,500
10,55,500
10,56,500
10,57,500
10,58,500
10,59,500
10,60,500
10,61,500
10,62,500
10,63,500
10,64,500
10,65,500
10,66,500
10,67,500
10,68,500
10,69,500
10,70,500
10,71,500
10,72,500
10,73,500
10,74,500
10,75,500
10,76,500
10,77,500
10,78,500
10,79,500
10,80,500
10,81,500
10,82,500
10,83,500
10,84,500
10,85,500
10,86,500
10,87,500
10,88,500
10,89,500
10,90,500
10,91,500
10,92,500
10,93,500
10,94,500
10,95,500
10,96,500
10,97,500
10,98,500
10,99,500
10,100,500
10,101,500
10,102,500
10,103,500
10,104,500
10,105,500
10,106,500
10,107,500
10,108,500
10,109,500
10,110,500
10,111,500
10,112,500
10,113,500
10,114,500
10,115,500
10,116,500
10,117,500
10,118,500
10,119,500
10,120,500
10,121,500
10,122,500
10,123,500
10,124,500
10,125,500
10,126,500
10,127,500
10,128,500
10,129,500
10,130,500
10,131,500
10,132,500
10,133,500
10,134,500
10,135,500
10,136,500
10,137,500
10,138,500
10,139,500
10,140,500
10,141,500
10,142,500
10,143,500
10,144,500
10,145,500
10,146,500
10,147,500
10,148,500
10,149,500
10,150,500
10,151,500
10,152,500
10,153,500
10,154,500
10,155,500
10,156,500
10,157,500
10,158,500
10,159,500
10,160,500
10,161,500
10,162,500
10,163,500
10,164,500
10,165,500
10,166,500
10,167,500
10,168,500
10,169,500
10,170,500
10,171,500
10,172,500
10,173,500
10,174,500
10,175,500
10,176,500
10,177,500
10,178,500
10,179,500
10,180,500
10,181,500
10,182,500
10,183,500
10,184,500
10,185,500
10,186,500
10,187,500
10,188,500
10,189,500
10,190,500
10,191,500
10,192,500
10,193,500
10,194,500
10,195,500
10,196,500
10,197,500
10,198,500
10,199,500
10,200,500
10,201,500
10,202,500
10,203,500
10,204,500
10,205,500
10,206,500
10,207,500
10,208,500
10,209,500
10,210,500
10,211,500
10,212,500
10,213,500
10,214,500
10,215,500
10,216,500
10,217,500
10,218,500
10,219,500
10,220,500
10,221,500
10,222,500
10,223,500
10,224,500
10,225,500
10,226,500
10,227,500
10,228,500
10,229,500
10,230,500
10,231,500
10,232,500
10,233,500
10,234,500
10,235,500
10,236,500
10,237,500
10,238,500
10,239,500
10,240,500
10,241,500
10,242,500
10,243,500
10,244,500
10,245,500
10,246,500
10,247,500
10,248,500
10,249,500
10,250,500
10,251,500
10,252,500
10,253,500
10,254,500
10,255,500
10,256,500
10,257,500
10,258,500
10,259,500
10,260,500
10,261,500
10,262,500
10,263,500
10,264,500
10,265,500
10,266,500
10,267,500
10,268,500
10,269,500
10,270,500
10,271,500
10,272,500
10,273,500
10,274,500
10,275,500
10,276,500
10,277,500
10,278,500
10,279,500
10,280,500
10,281,500
10,282,500
10,283,500
10,284,500
10,285,500
10,286,500
10,287,500
10,288,500
10,289,500
10,290,500
10,291,500
10,292,500
10,293,500
10,294,500
10,295,500
10,296,500
10,297,500
10,298,500
10,299,500
10,300,500
10,301,500
10,302,500
10,303,500
10,304,500
10,305,500
10,306,500
10,307,500
10,308,500
10,309,500
10,310,500
10,311,500
10,312,500
10,313,500
10,314,500
10,315,500
10,316,500
10,317,500
10,318,500
10,319,500
10,320,500
10,321,500
10,322,500
10,323,500
10,324,500
10,325,500
10,326,500
10,327,500
10,328,500
10,329,500
10,330,500
10,331,500
10,332,500
10,333,500
10,334,500
10,335,500
10,336,500
10,337,500
10,338,500
10,339,500
10,340,500
10,341,500
10,342,500
10,343,500
10,344,500
10,345,500
10,346,500
10,347,500
10,348,500
10,349,500
