updtw1,updtw2,storage
1,26946,172510.80000000002
2,26946,172567.2
3,26946,172623.6
4,26946,172680.0
5,26946,172736.40000000002
6,26946,172792.80000000002
7,26946,172849.2
8,26946,172905.6
9,26946,172962.0
10,26946,173018.40000000002
11,26946,173074.80000000002
12,26946,173131.2
13,26946,173187.6
14,26946,173244.0
15,26946,173300.40000000002
16,26946,173356.80000000002
17,26946,173413.2
18,26946,173469.6
19,26946,173526.0
20,26946,173582.40000000002
21,26946,173638.80000000002
22,26946,173695.2
23,26946,173751.6
24,26946,173808.0
25,26946,173864.40000000002
26,26946,173920.80000000002
27,26946,173977.2
28,26946,174033.6
29,26946,174090.0
30,26946,174146.40000000002
31,26946,174202.80000000002
32,26946,174259.2
33,26946,174315.6
34,26946,174372.0
35,26946,174428.40000000002
36,26946,174484.80000000002
37,26946,174541.2
38,26946,174597.6
39,26946,174654.0
40,26946,174710.40000000002
41,26946,174766.80000000002
42,26946,174823.2
43,26946,174879.6
44,26946,174936.0
45,26946,174992.40000000002
46,26946,175048.80000000002
47,26946,175105.2
48,26946,175161.6
49,26946,175218.0
50,26946,175274.40000000002
51,26946,175330.80000000002
52,26946,175387.2
53,26946,175443.6
54,26946,175500.0
55,26946,175556.40000000002
56,26946,175612.80000000002
57,26946,175669.2
58,26946,175725.6
59,26946,175782.0
60,26946,175838.40000000002
61,26946,175894.80000000002
62,26946,175951.2
63,26946,176007.6
64,26946,176064.0
65,26946,176120.40000000002
66,26946,176176.80000000002
67,26946,176233.2
68,26946,176289.6
69,26946,176346.0
70,26946,176402.40000000002
71,26946,176458.80000000002
72,26946,176515.2
73,26946,176571.6
74,26946,176628.0
75,26946,176684.40000000002
76,26946,176740.80000000002
77,26946,176797.2
78,26946,176853.6
79,26946,176910.0
80,26946,176966.40000000002
81,26946,177022.80000000002
82,26946,177079.2
83,26946,177135.6
84,26946,177192.0
85,26946,177248.40000000002
86,26946,177304.80000000002
87,26946,177361.2
88,26946,177417.6
89,26946,177474.0
90,26946,177530.40000000002
91,26946,177586.80000000002
92,26946,177643.2
93,26946,177699.6
94,26946,177756.0
95,26946,177812.40000000002
96,26946,177868.80000000002
97,26946,177925.2
98,26946,177981.6
99,26946,178038.0
100,26946,178094.40000000002
101,26946,178150.80000000002
102,26946,178207.2
103,26946,178263.6
104,26946,178320.0
105,26946,178376.40000000002
106,26946,178432.80000000002
107,26946,178489.2
108,26946,178545.6
109,26946,178602.0
110,26946,178658.40000000002
111,26946,178714.80000000002
112,26946,178771.2
113,26946,178827.6
114,26946,178884.0
115,26946,178940.40000000002
116,26946,178996.80000000002
117,26946,179053.2
118,26946,179109.6
119,26946,179166.0
120,26946,179222.40000000002
121,26946,179278.80000000002
122,26946,179335.2
123,26946,179391.6
124,26946,179448.0
125,26946,179504.40000000002
126,26946,179560.80000000002
127,26946,179617.2
128,26946,179673.6
129,26946,179730.0
130,26946,179786.40000000002
131,26946,179842.80000000002
132,26946,179899.2
133,26946,179955.6
134,26946,180012.0
135,26946,180068.40000000002
136,26946,180124.80000000002
137,26946,180181.2
138,26946,180237.6
139,26946,180294.0
140,26946,180350.40000000002
141,26946,180406.80000000002
142,26946,180463.2
143,26946,180519.6
144,26946,180576.0
145,26946,180632.40000000002
146,26946,180688.80000000002
147,26946,180745.2
148,26946,180801.6
149,26946,180858.0
150,26946,180914.40000000002
151,26946,180970.80000000002
152,26946,181027.2
153,26946,181083.6
154,26946,181140.0
155,26946,181196.40000000002
156,26946,181252.80000000002
157,26946,181309.2
158,26946,181365.6
159,26946,181422.0
160,26946,181478.40000000002
161,26946,181534.80000000002
162,26946,181591.2
163,26946,181647.6
164,26946,181704.0
165,26946,181760.40000000002
166,26946,181816.80000000002
