updtw1,updtw2,storage
1,16644,536716.8
2,16644,536767.04
3,16644,536817.28
4,16644,536867.52
5,16644,536917.76
6,16644,536968.0
7,16644,537018.24
8,16644,537068.48
9,16644,537118.72
10,16644,537168.96
11,16644,537219.2
12,16644,537269.44
13,16644,537319.68
14,16644,537369.92
15,16644,537420.16
16,16644,537470.4
17,16644,537520.64
18,16644,537570.88
19,16644,537621.12
20,16644,537671.36
21,16644,537721.6
22,16644,537771.84
23,16644,537822.08
24,16644,537872.32
25,16644,537922.56
26,16644,537972.8
27,16644,538023.04
28,16644,538073.28
29,16644,538123.52
30,16644,538173.76
31,16644,538224.0
32,16644,538274.24
33,16644,538324.48
34,16644,538374.72
35,16644,538424.96
36,16644,538475.2
37,16644,538525.44
38,16644,538575.68
39,16644,538625.92
40,16644,538676.16
41,16644,538726.4
42,16644,538776.64
43,16644,538826.88
44,16644,538877.12
45,16644,538927.36
46,16644,538977.6
47,16644,539027.84
48,16644,539078.08
49,16644,539128.32
50,16644,539178.56
51,16644,539228.8
52,16644,539279.04
53,16644,539329.28
54,16644,539379.52
55,16644,539429.76
56,16644,539480.0
57,16644,539530.24
58,16644,539580.48
59,16644,539630.72
60,16644,539680.96
61,16644,539731.2
62,16644,539781.44
63,16644,539831.68
64,16644,539881.92
65,16644,539932.16
66,16644,539982.4
67,16644,540032.64
68,16644,540082.88
69,16644,540133.12
70,16644,540183.36
71,16644,540233.6
72,16644,540283.84
73,16644,540334.08
74,16644,540384.32
75,16644,540434.56
76,16644,540484.8
77,16644,540535.04
78,16644,540585.28
79,16644,540635.52
80,16644,540685.76
81,16644,540736.0
82,16644,540786.24
83,16644,540836.48
84,16644,540886.72
85,16644,540936.96
86,16644,540987.2
87,16644,541037.44
88,16644,541087.68
89,16644,541137.92
90,16644,541188.16
91,16644,541238.4
92,16644,541288.64
93,16644,541338.88
94,16644,541389.12
95,16644,541439.36
96,16644,541489.6
97,16644,541539.84
98,16644,541590.08
99,16644,541640.32
100,16644,541690.56
101,16644,541740.8
102,16644,541791.04
103,16644,541841.28
104,16644,541891.52
105,16644,541941.76
106,16644,541992.0
107,16644,542042.24
108,16644,542092.48
109,16644,542142.72
110,16644,542192.96
111,16644,542243.2
112,16644,542293.44
113,16644,542343.68
114,16644,542393.92
115,16644,542444.16
116,16644,542494.4
117,16644,542544.64
118,16644,542594.88
119,16644,542645.12
120,16644,542695.36
121,16644,542745.6
122,16644,542795.84
123,16644,542846.08
124,16644,542896.32
125,16644,542946.56
126,16644,542996.8
127,16644,543047.04
128,16644,543097.28
129,16644,543147.52
130,16644,543197.76
131,16644,543248.0
132,16644,543298.24
133,16644,543348.48
134,16644,543398.72
135,16644,543448.96
136,16644,543499.2
137,16644,543549.44
138,16644,543599.68
139,16644,543649.92
140,16644,543700.16
141,16644,543750.4
142,16644,543800.64
143,16644,543850.88
144,16644,543901.12
145,16644,543951.36
146,16644,544001.6
147,16644,544051.84
148,16644,544102.08
149,16644,544152.32
150,16644,544202.56
151,16644,544252.8
152,16644,544303.04
153,16644,544353.28
154,16644,544403.52
155,16644,544453.76
156,16644,544504.0
157,16644,544554.24
158,16644,544604.48
159,16644,544654.72
160,16644,544704.96
161,16644,544755.2
162,16644,544805.44
163,16644,544855.68
164,16644,544905.92
165,16644,544956.16
166,16644,545006.4
167,16644,545056.64
168,16644,545106.88
169,16644,545157.12
170,16644,545207.36
171,16644,545257.6
172,16644,545307.84
173,16644,545358.08
174,16644,545408.32
175,16644,545458.56
176,16644,545508.8
177,16644,545559.04
178,16644,545609.28
179,16644,545659.52
180,16644,545709.76
181,16644,545760.0
182,16644,545810.24
183,16644,545860.48
184,16644,545910.72
185,16644,545960.96
186,16644,546011.2
187,16644,546061.44
188,16644,546111.68
189,16644,546161.92
190,16644,546212.16
191,16644,546262.4
192,16644,546312.64
193,16644,546362.88
194,16644,546413.12
195,16644,546463.36
196,16644,546513.6
197,16644,546563.84
198,16644,546614.08
199,16644,546664.32
200,16644,546714.56
201,16644,546764.8
202,16644,546815.04
203,16644,546865.28
204,16644,546915.52
205,16644,546965.76
206,16644,547016.0
207,16644,547066.24
208,16644,547116.48
209,16644,547166.72
210,16644,547216.96
211,16644,547267.2
212,16644,547317.44
213,16644,547367.68
214,16644,547417.92
215,16644,547468.16
216,16644,547518.4
217,16644,547568.64
218,16644,547618.88
219,16644,547669.12
220,16644,547719.36
221,16644,547769.6
222,16644,547819.84
223,16644,547870.08
224,16644,547920.32
225,16644,547970.56
226,16644,548020.8
227,16644,548071.04
228,16644,548121.28
229,16644,548171.52
230,16644,548221.76
231,16644,548272.0
232,16644,548322.24
233,16644,548372.48
234,16644,548422.72
235,16644,548472.96
236,16644,548523.2
237,16644,548573.44
238,16644,548623.68
239,16644,548673.92
240,16644,548724.16
241,16644,548774.4
242,16644,548824.64
243,16644,548874.88
244,16644,548925.12
245,16644,548975.36
246,16644,549025.6
247,16644,549075.84
248,16644,549126.08
249,16644,549176.32
250,16644,549226.56
251,16644,549276.8
252,16644,549327.04
253,16644,549377.28
254,16644,549427.52
255,16644,549477.76
256,16644,549528.0
257,16644,549578.24
258,16644,549628.48
259,16644,549678.72
260,16644,549728.96
261,16644,549779.2
262,16644,549829.44
263,16644,549879.68
264,16644,549929.92
265,16644,549980.16
266,16644,550030.4
267,16644,550080.64
268,16644,550130.88
269,16644,550181.12
270,16644,550231.36
271,16644,550281.6
272,16644,550331.84
273,16644,550382.08
274,16644,550432.32
275,16644,550482.56
276,16644,550532.8
277,16644,550583.04
278,16644,550633.28
279,16644,550683.52
280,16644,550733.76
281,16644,550784.0
282,16644,550834.24
283,16644,550884.48
284,16644,550934.72
285,16644,550984.96
286,16644,551035.2
287,16644,551085.44
288,16644,551135.68
289,16644,551185.92
290,16644,551236.16
291,16644,551286.4
292,16644,551336.64
293,16644,551386.88
294,16644,551437.12
295,16644,551487.36
296,16644,551537.6
297,16644,551587.84
298,16644,551638.08
299,16644,551688.32
300,16644,551738.56
301,16644,551788.8
302,16644,551839.04
303,16644,551889.28
304,16644,551939.52
305,16644,551989.76
306,16644,552040.0
307,16644,552090.24
308,16644,552140.48
309,16644,552190.72
310,16644,552240.96
311,16644,552291.2
312,16644,552341.44
313,16644,552391.68
314,16644,552441.92
315,16644,552492.16
316,16644,552542.4
317,16644,552592.64
318,16644,552642.88
319,16644,552693.12
320,16644,552743.36
321,16644,552793.6
322,16644,552843.84
323,16644,552894.08
324,16644,552944.32
325,16644,552994.56
326,16644,553044.8
327,16644,553095.04
328,16644,553145.28
329,16644,553195.52
330,16644,553245.76
331,16644,553296.0
332,16644,553346.24
333,16644,553396.48
334,16644,553446.72
335,16644,553496.96
336,16644,553547.2
337,16644,553597.44
338,16644,553647.68
339,16644,553697.92
340,16644,553748.16
341,16644,553798.4
342,16644,553848.64
343,16644,553898.88
344,16644,553949.12
345,16644,553999.36
346,16644,554049.6
347,16644,554099.84
348,16644,554150.08
349,16644,554200.32
350,16644,554250.56
351,16644,554300.8
352,16644,554351.04
353,16644,554401.28
354,16644,554451.52
355,16644,554501.76
356,16644,554552.0
357,16644,554602.24
358,16644,554652.48
359,16644,554702.72
360,16644,554752.96
361,16644,554803.2
362,16644,554853.44
363,16644,554903.68
364,16644,554953.92
365,16644,555004.16
366,16644,555054.4
367,16644,555104.64
368,16644,555154.88
369,16644,555205.12
370,16644,555255.36
371,16644,555305.6
372,16644,555355.84
373,16644,555406.08
374,16644,555456.32
375,16644,555506.56
376,16644,555556.8
377,16644,555607.04
378,16644,555657.28
379,16644,555707.52
380,16644,555757.76
381,16644,555808.0
382,16644,555858.24
383,16644,555908.48
384,16644,555958.72
385,16644,556008.96
