updtw1,updtw2,storage
1,26946,868853.28
2,26946,868903.52
3,26946,868953.76
4,26946,869004.0
5,26946,869054.24
6,26946,869104.48
7,26946,869154.72
8,26946,869204.96
9,26946,869255.2
10,26946,869305.44
11,26946,869355.68
12,26946,869405.92
13,26946,869456.16
14,26946,869506.4
15,26946,869556.64
16,26946,869606.88
17,26946,869657.12
18,26946,869707.36
19,26946,869757.6
20,26946,869807.84
21,26946,869858.08
22,26946,869908.32
23,26946,869958.56
24,26946,870008.8
25,26946,870059.04
26,26946,870109.28
27,26946,870159.52
28,26946,870209.76
29,26946,870260.0
30,26946,870310.24
31,26946,870360.48
32,26946,870410.72
33,26946,870460.96
34,26946,870511.2
35,26946,870561.44
36,26946,870611.68
37,26946,870661.92
38,26946,870712.16
39,26946,870762.4
40,26946,870812.64
41,26946,870862.88
42,26946,870913.12
43,26946,870963.36
44,26946,871013.6
45,26946,871063.84
46,26946,871114.08
47,26946,871164.32
48,26946,871214.56
49,26946,871264.8
50,26946,871315.04
51,26946,871365.28
52,26946,871415.52
53,26946,871465.76
54,26946,871516.0
55,26946,871566.24
56,26946,871616.48
57,26946,871666.72
58,26946,871716.96
59,26946,871767.2
60,26946,871817.44
61,26946,871867.68
62,26946,871917.92
63,26946,871968.16
64,26946,872018.4
65,26946,872068.64
66,26946,872118.88
67,26946,872169.12
68,26946,872219.36
69,26946,872269.6
70,26946,872319.84
71,26946,872370.08
72,26946,872420.32
73,26946,872470.56
74,26946,872520.8
75,26946,872571.04
76,26946,872621.28
77,26946,872671.52
78,26946,872721.76
79,26946,872772.0
80,26946,872822.24
81,26946,872872.48
82,26946,872922.72
83,26946,872972.96
84,26946,873023.2
85,26946,873073.44
86,26946,873123.68
87,26946,873173.92
88,26946,873224.16
89,26946,873274.4
90,26946,873324.64
91,26946,873374.88
92,26946,873425.12
93,26946,873475.36
94,26946,873525.6
95,26946,873575.84
96,26946,873626.08
97,26946,873676.32
98,26946,873726.56
99,26946,873776.8
100,26946,873827.04
101,26946,873877.28
102,26946,873927.52
103,26946,873977.76
104,26946,874028.0
105,26946,874078.24
106,26946,874128.48
