updtw1,updtw2,storage
1,9738,314067.36
2,9738,314117.6
3,9738,314167.84
4,9738,314218.08
5,9738,314268.32
6,9738,314318.56
7,9738,314368.8
8,9738,314419.04
9,9738,314469.28
10,9738,314519.52
11,9738,314569.76
12,9738,314620.0
13,9738,314670.24
14,9738,314720.48
15,9738,314770.72
16,9738,314820.96
17,9738,314871.2
18,9738,314921.44
19,9738,314971.68
20,9738,315021.92
21,9738,315072.16
22,9738,315122.4
23,9738,315172.64
24,9738,315222.88
25,9738,315273.12
26,9738,315323.36
27,9738,315373.6
28,9738,315423.84
29,9738,315474.08
30,9738,315524.32
31,9738,315574.56
32,9738,315624.8
33,9738,315675.04
34,9738,315725.28
35,9738,315775.52
36,9738,315825.76
37,9738,315876.0
38,9738,315926.24
39,9738,315976.48
40,9738,316026.72
41,9738,316076.96
42,9738,316127.2
43,9738,316177.44
44,9738,316227.68
45,9738,316277.92
46,9738,316328.16
47,9738,316378.4
48,9738,316428.64
49,9738,316478.88
50,9738,316529.12
51,9738,316579.36
52,9738,316629.6
53,9738,316679.84
54,9738,316730.08
55,9738,316780.32
56,9738,316830.56
57,9738,316880.8
58,9738,316931.04
59,9738,316981.28
60,9738,317031.52
61,9738,317081.76
62,9738,317132.0
63,9738,317182.24
64,9738,317232.48
65,9738,317282.72
66,9738,317332.96
67,9738,317383.2
68,9738,317433.44
69,9738,317483.68
70,9738,317533.92
71,9738,317584.16
72,9738,317634.4
73,9738,317684.64
74,9738,317734.88
75,9738,317785.12
76,9738,317835.36
77,9738,317885.6
78,9738,317935.84
79,9738,317986.08
80,9738,318036.32
81,9738,318086.56
82,9738,318136.8
83,9738,318187.04
84,9738,318237.28
85,9738,318287.52
86,9738,318337.76
87,9738,318388.0
88,9738,318438.24
89,9738,318488.48
90,9738,318538.72
91,9738,318588.96
92,9738,318639.2
93,9738,318689.44
94,9738,318739.68
95,9738,318789.92
96,9738,318840.16
97,9738,318890.4
98,9738,318940.64
99,9738,318990.88
100,9738,319041.12
101,9738,319091.36
102,9738,319141.6
103,9738,319191.84
104,9738,319242.08
105,9738,319292.32
106,9738,319342.56
107,9738,319392.8
108,9738,319443.04
109,9738,319493.28
110,9738,319543.52
111,9738,319593.76
112,9738,319644.0
113,9738,319694.24
114,9738,319744.48
115,9738,319794.72
116,9738,319844.96
117,9738,319895.2
118,9738,319945.44
119,9738,319995.68
120,9738,320045.92
121,9738,320096.16
122,9738,320146.4
123,9738,320196.64
124,9738,320246.88
125,9738,320297.12
126,9738,320347.36
127,9738,320397.6
128,9738,320447.84
129,9738,320498.08
130,9738,320548.32
131,9738,320598.56
132,9738,320648.8
133,9738,320699.04
134,9738,320749.28
135,9738,320799.52
136,9738,320849.76
137,9738,320900.0
138,9738,320950.24
139,9738,321000.48
140,9738,321050.72
141,9738,321100.96
142,9738,321151.2
143,9738,321201.44
144,9738,321251.68
145,9738,321301.92
146,9738,321352.16
147,9738,321402.4
148,9738,321452.64
149,9738,321502.88
150,9738,321553.12
151,9738,321603.36
152,9738,321653.6
153,9738,321703.84
154,9738,321754.08
155,9738,321804.32
156,9738,321854.56
157,9738,321904.8
158,9738,321955.04
159,9738,322005.28
160,9738,322055.52
161,9738,322105.76
162,9738,322156.0
163,9738,322206.24
164,9738,322256.48
165,9738,322306.72
166,9738,322356.96
167,9738,322407.2
168,9738,322457.44
169,9738,322507.68
170,9738,322557.92
171,9738,322608.16
172,9738,322658.4
173,9738,322708.64
174,9738,322758.88
175,9738,322809.12
176,9738,322859.36
177,9738,322909.6
178,9738,322959.84
179,9738,323010.08
180,9738,323060.32
181,9738,323110.56
182,9738,323160.8
183,9738,323211.04
184,9738,323261.28
185,9738,323311.52
186,9738,323361.76
187,9738,323412.0
188,9738,323462.24
189,9738,323512.48
190,9738,323562.72
191,9738,323612.96
192,9738,323663.2
193,9738,323713.44
194,9738,323763.68
195,9738,323813.92
196,9738,323864.16
197,9738,323914.4
198,9738,323964.64
199,9738,324014.88
200,9738,324065.12
201,9738,324115.36
202,9738,324165.6
203,9738,324215.84
204,9738,324266.08
205,9738,324316.32
206,9738,324366.56
207,9738,324416.8
208,9738,324467.04
209,9738,324517.28
210,9738,324567.52
211,9738,324617.76
212,9738,324668.0
213,9738,324718.24
214,9738,324768.48
215,9738,324818.72
216,9738,324868.96
217,9738,324919.2
218,9738,324969.44
219,9738,325019.68
220,9738,325069.92
221,9738,325120.16
222,9738,325170.4
223,9738,325220.64
224,9738,325270.88
225,9738,325321.12
226,9738,325371.36
227,9738,325421.6
228,9738,325471.84
229,9738,325522.08
230,9738,325572.32
231,9738,325622.56
232,9738,325672.8
233,9738,325723.04
234,9738,325773.28
235,9738,325823.52
236,9738,325873.76
237,9738,325924.0
238,9738,325974.24
239,9738,326024.48
240,9738,326074.72
241,9738,326124.96
242,9738,326175.2
